DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,50.0,0.87,5800.0,22.69,392,12,5750.0,5800.0,5750.0
2026-05-07,-29.0,-0.5,5750.0,11.5,202,8,5670.2,5750.0,5670.2
2026-05-06,24.0,0.42,5779.0,18.31,320,13,5755.0,5780.0,5700.0
2026-05-05,55.0,0.96,5755.0,19.56,340,14,5700.0,5782.4,5661.0
2026-05-04,-100.0,-1.72,5700.0,73.37,1278,24,5800.0,5800.0,5700.0
2026-04-30,-95.0,-1.61,5800.0,28.89,501,16,5850.0,5850.0,5740.0
2026-04-29,-42.0,-0.71,5895.0,53.25,902,18,5975.0,5985.0,5826.0
2026-04-28,-21.0,-0.35,5937.0,,5329,132,5958.0,6001.0,5853.0
2026-04-27,188.0,3.26,5958.0,,4522,91,5770.0,5980.0,5770.0
2026-04-24,80.1,1.41,5770.0,,9254,28,5690.0,5770.0,5633.0
2026-04-23,-10.1,-0.18,5689.9,,3909,57,5650.0,5800.0,5550.0
2026-04-22,-50.0,-0.87,5700.0,37.75,663,25,5710.0,5795.0,5617.0
2026-04-21,-27.0,-0.47,5750.0,41.12,714,19,5845.0,5845.0,5712.0
2026-04-20,-47.0,-0.81,5777.0,6.37,111,6,5710.0,5799.0,5710.0
2026-04-17,-26.0,-0.44,5824.0,18.59,320,12,5800.1,5850.0,5774.3
2026-04-16,51.0,0.88,5850.0,,2556,66,5850.0,5940.0,5760.0
2026-04-15,79.0,1.38,5799.0,75.37,1301,26,5720.0,5818.9,5720.0
2026-04-13,-70.0,-1.21,5720.0,,2752,33,5677.0,5795.0,5677.0
2026-04-10,-28.9,-0.5,5790.0,88.25,1533,29,5765.0,5820.0,5740.0
2026-04-09,118.9,2.09,5818.9,93.67,1626,42,5700.0,5848.0,5612.2
2026-04-08,49.0,0.87,5700.0,,7170,42,5764.0,5764.0,5630.0
2026-04-07,-37.0,-0.65,5651.0,,2751,41,5574.3,5768.0,5574.3
2026-04-06,78.0,1.39,5688.0,,4115,59,5550.0,5700.0,5501.0
2026-04-05,-121.0,-2.11,5610.0,,2079,60,5691.0,5697.0,5610.0
2026-04-02,-33.1,-0.57,5731.0,,2799,36,5701.0,5820.0,5689.0
2026-04-01,-85.9,-1.47,5764.1,,6920,104,5967.0,5967.0,5750.0
2026-03-31,50.0,0.86,5850.0,97.16,1681,42,5761.0,5850.0,5736.0
2026-03-30,-105.0,-1.78,5800.0,,2178,68,5905.0,5980.0,5800.0
2026-03-29,-155.0,-2.56,5905.0,,4432,56,6060.0,6060.0,5901.1
2026-03-26,-40.0,-0.66,6060.0,30.91,511,12,6100.0,6100.0,6032.0
2026-03-25,0.0,0.0,6100.0,,3759,65,6040.0,6100.0,6035.0
2026-03-24,74.0,1.23,6100.0,,3670,57,6050.0,6100.0,6027.0
2026-03-23,-46.0,-0.76,6026.0,,3612,60,6003.0,6135.0,6001.0
2026-03-22,10.8,0.18,6072.0,,3731,57,6050.2,6150.0,6050.1
2026-03-19,-88.8,-1.44,6061.2,,4738,82,6110.0,6150.0,6055.1
2026-03-17,48.0,0.79,6150.0,89.25,1455,44,6145.9,6165.9,6070.3
2026-03-16,-38.0,-0.62,6102.0,52.85,864,26,6100.0,6150.0,6052.1
2026-03-15,83.0,1.37,6140.0,,1829,57,6100.0,6140.0,6051.0
2026-03-12,-30.2,-0.5,6057.0,,3247,87,6051.0,6150.4,6051.0
