DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,49.7,2.04,2485.0,37.61,1530,31,2439.0,2495.0,2439.0
2026-05-07,-24.7,-1.0,2435.3,4.39,180,16,2449.0,2450.0,2431.0
2026-05-06,10.0,0.41,2460.0,16.53,672,33,2450.0,2475.0,2440.0
2026-05-05,39.0,1.62,2450.0,16.26,669,37,2400.3,2469.9,2400.3
2026-05-04,-44.0,-1.79,2411.0,19.02,787,44,2407.0,2450.0,2407.0
2026-04-30,-25.0,-1.01,2455.0,31.16,1278,63,2462.0,2462.0,2420.0
2026-04-29,-37.0,-1.47,2480.0,46.73,1896,68,2500.0,2500.0,2454.2
2026-04-28,-33.0,-1.29,2517.0,60.3,2393,80,2550.0,2585.0,2511.0
2026-04-27,0.0,0.0,2550.0,17.86,705,28,2550.0,2550.0,2510.3
2026-04-24,5.0,0.2,2550.0,27.18,1075,53,2545.0,2550.0,2500.0
2026-04-23,-74.0,-2.83,2545.0,35.96,1408,39,2619.0,2619.0,2540.0
2026-04-22,44.0,1.71,2619.0,42.68,1662,73,2702.9,2702.9,2543.3
2026-04-21,-6.0,-0.23,2575.0,32.13,1244,53,2550.0,2600.0,2550.0
2026-04-20,-14.0,-0.54,2581.0,49.48,1910,43,2556.1,2610.0,2556.1
2026-04-17,-33.0,-1.26,2595.0,36.57,1410,60,2596.0,2600.0,2580.0
2026-04-16,-51.9,-1.94,2628.0,35.48,1350,60,2630.0,2645.0,2602.0
2026-04-15,21.9,0.82,2679.9,55.71,2101,80,2708.0,2708.0,2606.3
2026-04-13,-42.0,-1.56,2658.0,8.24,310,23,2700.0,2700.0,2650.1
2026-04-10,-60.0,-2.17,2700.0,36.78,1365,62,2711.0,2715.0,2670.0
2026-04-09,60.0,2.22,2760.0,58.35,2137,59,2700.0,2780.0,2700.0
2026-04-08,105.0,4.05,2700.0,63.11,2392,90,2620.0,2705.0,2600.0
2026-04-07,-5.0,-0.19,2595.0,45.91,1764,56,2645.0,2645.0,2580.0
2026-04-06,100.0,4.0,2600.0,45.23,1756,70,2550.0,2651.0,2547.0
2026-04-05,-220.0,-8.09,2500.0,,5135,199,2670.0,2700.0,2500.0
2026-04-02,10.0,0.37,2720.0,60.51,2218,73,2700.1,2800.0,2700.0
2026-04-01,-88.0,-3.15,2710.0,48.83,1780,79,2751.1,2765.0,2705.1
2026-03-31,48.0,1.75,2798.0,24.48,882,47,2752.0,2798.0,2750.0
2026-03-30,-31.0,-1.11,2750.0,67.64,2433,99,2780.0,2828.0,2742.0
2026-03-29,-114.0,-3.94,2781.0,,4643,138,2852.0,2888.0,2781.0
2026-03-26,10.0,0.35,2895.0,29.09,1011,60,2850.0,2900.0,2850.0
2026-03-25,10.0,0.35,2885.0,45.81,1591,74,2908.0,2929.0,2850.0
2026-03-24,12.9,0.45,2875.0,52.67,1834,71,2860.0,2910.0,2850.0
2026-03-23,-80.9,-2.75,2862.1,75.35,2610,73,2920.0,2956.0,2850.0
2026-03-22,81.0,2.83,2943.0,82.34,2830,104,2890.0,2969.0,2851.0
2026-03-19,45.0,1.6,2862.0,32.46,1134,61,2817.0,2890.0,2808.0
2026-03-17,-20.0,-0.7,2817.0,36.15,1279,62,2821.0,2877.3,2800.2
2026-03-16,-13.1,-0.46,2837.0,39.66,1394,63,2850.0,2900.0,2832.0
2026-03-15,-42.3,-1.46,2850.1,82.26,2868,95,2870.0,2920.0,2845.0
2026-03-12,-49.6,-1.69,2892.4,55.12,1894,95,2983.0,2983.0,2891.0
2026-03-11,-45.0,-1.51,2942.0,38.36,1290,75,2955.1,3025.3,2941.0
2026-03-10,-63.9,-2.09,2987.0,,4895,193,3100.0,3100.0,2945.0
2026-03-09,175.9,6.12,3050.9,,30,3,2932.5,3050.9,2932.5
2026-03-03,65.1,2.32,2875.0,43.79,1535,60,2809.0,2875.0,2809.0
