DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-53.0,-6.54,757.0,,36770,197,770.0,770.0,730.1
2026-05-07,88.0,12.19,810.0,29.06,3932,47,722.0,810.0,720.0
2026-05-06,-2.9,-0.4,722.0,28.74,3990,46,724.0,724.0,718.1
2026-05-05,-0.1,-0.01,724.9,8.44,1167,27,722.0,733.0,720.0
2026-05-04,5.0,0.69,725.0,34.36,4755,54,756.0,756.0,717.0
2026-04-30,-5.0,-0.69,720.0,22.62,3126,49,718.0,729.0,718.0
2026-04-29,-4.0,-0.55,725.0,19.44,2689,36,727.0,727.0,720.0
2026-04-28,-1.0,-0.14,729.0,37.45,5179,72,730.0,739.9,717.0
2026-04-27,0.0,0.0,730.0,26.24,3597,47,752.0,752.0,725.0
2026-04-24,-5.0,-0.68,730.0,14.75,2018,38,755.0,755.0,727.4
2026-04-23,-9.8,-1.32,735.0,12.01,1630,31,760.0,760.0,731.0
2026-04-22,5.8,0.78,744.8,80.37,10975,60,731.0,745.0,728.1
2026-04-21,-5.9,-0.79,739.0,44.52,6011,58,760.0,760.0,739.0
2026-04-20,-6.1,-0.81,744.9,30.53,4091,43,750.0,750.0,741.5
2026-04-17,9.8,1.32,751.0,29.58,3980,44,737.0,753.9,730.0
2026-04-16,-8.8,-1.17,741.2,37.39,5019,46,760.0,760.0,736.0
2026-04-15,11.9,1.61,750.0,56.94,7616,85,738.1,752.7,738.1
2026-04-13,-11.9,-1.59,738.1,34.05,4597,55,747.0,747.0,738.1
2026-04-10,-7.0,-0.92,750.0,35.52,4729,59,765.0,765.0,743.0
2026-04-09,17.0,2.3,757.0,65.55,8723,85,735.0,757.8,735.0
2026-04-08,12.8,1.76,740.0,26.22,3559,48,727.0,741.6,727.0
2026-04-07,-2.8,-0.38,727.2,55.73,7623,72,740.0,740.0,726.3
2026-04-06,16.9,2.37,730.0,,14977,157,715.0,740.5,711.0
2026-04-05,-36.9,-4.92,713.1,,15051,184,739.0,739.0,713.1
2026-04-02,-13.0,-1.7,750.0,55.11,7343,98,748.2,760.0,747.8
2026-04-01,-0.9,-0.12,763.0,86.86,11529,101,752.2,763.0,748.0
2026-03-31,3.9,0.51,763.9,64.87,8531,92,768.5,770.0,751.2
2026-03-30,-12.0,-1.55,760.0,,19071,122,765.2,774.0,749.9
2026-03-29,-16.0,-2.03,772.0,,15886,147,772.3,793.0,765.0
2026-03-26,-2.0,-0.25,788.0,85.47,10926,118,803.0,803.0,774.3
2026-03-25,-15.0,-1.86,790.0,85.93,10844,115,805.0,805.0,790.0
2026-03-24,2.0,0.25,805.0,,13673,155,819.0,819.0,795.1
2026-03-23,-1.9,-0.24,803.0,,26350,244,804.9,820.0,794.0
2026-03-22,36.9,4.8,804.9,,53245,441,783.0,816.0,775.0
2026-03-19,11.0,1.45,768.0,,15488,156,767.0,775.0,759.0
2026-03-17,-6.0,-0.79,757.0,37.4,4913,90,778.0,778.0,756.0
2026-03-16,-7.0,-0.91,763.0,57.42,7494,93,785.3,785.3,760.0
2026-03-15,-3.5,-0.45,770.0,49.67,6471,89,788.0,788.0,761.0
2026-03-12,8.5,1.11,773.5,55.97,7298,68,755.0,775.0,755.0
2026-03-11,-12.0,-1.54,765.0,64.68,8366,103,780.0,780.0,765.0
2026-03-10,-15.0,-1.89,777.0,,28888,203,792.0,792.0,763.0
2026-03-09,45.1,6.04,792.0,2.32,303,6,761.0,792.0,761.0
2026-03-03,11.9,1.62,746.9,55.68,7517,61,749.7,749.7,733.1
2026-03-01,6.0,0.82,735.0,32.42,4455,54,725.0,738.5,718.0
2026-02-26,-4.8,-0.65,729.0,34.26,4687,42,740.0,740.0,729.0
2026-02-25,-0.2,-0.03,733.8,46.32,6329,65,730.1,735.0,726.1
2026-02-24,8.6,1.19,734.0,31.65,4345,37,728.0,734.5,725.4
2026-02-23,0.2,0.03,725.4,40.53,5593,54,722.0,730.0,722.0
2026-02-22,-4.8,-0.66,725.2,45.3,6218,91,740.9,740.9,725.0
2026-02-17,-5.0,-0.68,730.0,51.09,6987,66,731.0,736.0,728.0
2026-02-16,2.1,0.29,735.0,31.54,4310,51,732.0,735.0,730.0
2026-02-12,-1.1,-0.15,732.9,78.2,10683,79,735.0,736.5,726.0
2026-02-11,2.0,0.27,734.0,74.28,10134,100,743.0,743.0,730.0
2026-02-10,-4.0,-0.54,732.0,45.71,6223,53,735.0,740.0,730.0
2026-02-09,0.0,0.0,736.0,91.38,12456,111,747.0,747.0,730.0
2026-02-08,-4.0,-0.54,736.0,91.31,12341,90,732.0,785.0,732.0
2026-02-05,0.0,0.0,740.0,48.93,6614,56,735.0,746.0,735.0
2026-02-04,-6.9,-0.92,740.0,22.92,3085,36,755.0,755.0,735.0
2026-02-03,1.9,0.26,746.9,80.08,10877,105,755.0,755.0,728.0
2026-02-02,0.0,0.0,745.0,44.58,5963,49,745.0,750.8,741.0
2026-02-01,-7.0,-0.93,745.0,21.72,2916,31,740.0,756.9,740.0
2026-01-29,0.0,0.0,752.0,63.58,8498,84,743.1,753.0,743.1
2026-01-28,-10.0,-1.31,752.0,72.15,9602,85,760.0,760.0,745.0
2026-01-27,-8.0,-1.04,762.0,83.71,10981,111,778.0,778.0,748.0
2026-01-26,9.0,1.18,770.0,82.92,10800,122,765.0,775.0,761.0
2026-01-25,14.0,1.87,761.0,,15511,113,756.0,761.0,747.0
2026-01-22,-7.0,-0.93,747.0,67.29,9050,90,757.0,757.0,735.0
2026-01-21,1.0,0.13,754.0,24.71,3290,46,750.0,757.0,747.0
2026-01-20,6.0,0.8,753.0,48.57,6455,88,761.9,761.9,744.0
2026-01-18,13.0,1.77,747.0,80.89,10907,70,745.0,748.0,736.0
2026-01-14,-1.0,-0.14,734.0,46.11,6329,62,730.0,736.0,724.8
2026-01-13,4.9,0.67,735.0,35.01,4812,53,728.5,735.0,726.1
2026-01-12,-9.9,-1.34,730.1,52.67,7149,54,740.0,742.5,730.1
2026-01-08,4.0,0.54,740.0,70.78,9578,53,740.0,743.0,734.6
