DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.0,1.07,663.0,22.57,3414,41,656.0,666.0,655.0
2026-05-07,2.8,0.43,656.0,15.6,2370,32,663.5,663.5,646.0
2026-05-06,-6.8,-1.03,653.2,7.62,1165,27,653.3,659.0,653.2
2026-05-05,4.1,0.63,660.0,22.66,3450,51,660.0,663.3,653.0
2026-05-04,-10.9,-1.63,655.9,13.73,2096,38,647.0,659.0,647.0
2026-04-30,6.8,1.03,666.8,22.41,3412,39,649.0,666.8,648.1
2026-04-29,-1.0,-0.15,660.0,12.07,1837,39,660.0,661.0,653.2
2026-04-28,-3.8,-0.57,661.0,10.17,1545,40,664.8,665.0,650.2
2026-04-27,-1.2,-0.18,664.8,9.64,1462,33,666.0,669.9,652.2
2026-04-24,-2.7,-0.4,666.0,17.4,2643,31,668.7,666.0,652.1
2026-04-23,-1.3,-0.19,668.7,22.68,3424,42,670.0,670.0,660.0
2026-04-22,2.7,0.4,670.0,47.12,7083,71,667.3,670.0,660.4
2026-04-21,-12.7,-1.87,667.3,15.86,2358,31,681.0,681.0,666.0
2026-04-20,10.0,1.49,680.0,15.54,2335,35,664.5,680.0,664.0
2026-04-17,-7.5,-1.11,670.0,28.31,4234,53,683.0,683.0,660.1
2026-04-16,-7.5,-1.09,677.5,33.29,4940,61,685.0,685.0,669.0
2026-04-15,9.0,1.33,685.0,75.78,11160,84,688.0,688.0,670.0
2026-04-13,-12.8,-1.86,676.0,36.77,5422,66,702.0,702.0,676.0
2026-04-10,-9.0,-1.29,688.8,7.18,1050,20,707.9,707.9,678.0
2026-04-09,11.5,1.68,697.8,26.89,3909,60,673.1,698.0,673.0
2026-04-08,13.4,1.99,686.3,49.16,7296,90,672.9,686.3,663.1
2026-04-07,-5.1,-0.75,672.9,19.92,2955,54,687.0,688.4,669.0
2026-04-06,19.0,2.88,678.0,64.22,9623,86,669.0,678.0,660.0
2026-04-05,-21.8,-3.2,659.0,69.77,10645,111,668.0,668.0,650.0
2026-04-02,-9.1,-1.32,680.8,34.02,5030,77,676.2,683.0,663.0
2026-04-01,-8.0,-1.15,689.9,58.99,8701,89,697.9,698.0,669.5
2026-03-31,4.9,0.71,697.9,55.1,8022,75,705.0,706.8,675.0
2026-03-30,-10.0,-1.42,693.0,59.37,8566,84,690.1,706.0,685.0
2026-03-29,-20.0,-2.77,703.0,,18245,139,711.1,723.1,696.0
2026-03-26,4.0,0.56,723.0,83.09,11547,78,719.0,723.0,708.1
2026-03-25,-16.5,-2.24,719.0,,15018,109,736.0,736.0,712.0
2026-03-24,8.5,1.17,735.5,95.45,13136,104,741.5,741.5,718.0
2026-03-23,-13.0,-1.76,727.0,,15913,153,747.0,747.9,720.1
2026-03-22,36.0,5.11,740.0,,29535,259,714.9,754.0,708.0
2026-03-19,10.0,1.44,704.0,95.93,13698,125,685.1,707.9,685.1
2026-03-17,0.0,0.0,694.0,32.04,4686,59,681.0,694.0,681.0
2026-03-16,-6.9,-0.98,694.0,39.9,5751,53,690.1,700.0,690.1
2026-03-15,12.9,1.87,700.9,62.97,9064,100,694.0,700.9,688.0
2026-03-12,-8.0,-1.15,688.0,53.75,7783,59,683.0,696.0,683.0
2026-03-11,-2.4,-0.34,696.0,30.99,4486,52,690.1,700.0,688.1
2026-03-10,15.4,2.25,698.4,,21219,162,696.0,710.0,686.0
2026-03-09,13.0,1.94,683.0,1.36,200,2,683.0,683.0,683.0
2026-03-03,7.0,1.06,670.0,14.52,2173,38,663.0,673.8,660.0
2026-03-01,6.9,1.05,663.0,7.14,1083,24,645.0,666.0,645.0
2026-02-26,-3.5,-0.53,656.1,10.18,1546,26,659.6,668.0,655.0
2026-02-25,-4.9,-0.74,659.6,14.68,2210,34,657.1,672.0,657.1
2026-02-24,4.5,0.68,664.5,4.44,676,23,660.0,665.0,652.0
2026-02-23,4.0,0.61,660.0,4.45,679,22,646.6,660.0,646.6
2026-02-22,-5.0,-0.76,656.0,10.77,1641,22,655.0,660.0,655.0
2026-02-17,-8.0,-1.2,661.0,13.72,2082,44,657.0,669.0,656.1
2026-02-16,-6.0,-0.89,669.0,14.22,2138,36,670.0,670.0,664.0
2026-02-12,16.0,2.43,675.0,40.53,6098,59,650.2,676.0,650.2
2026-02-11,-1.2,-0.18,659.0,53.79,8121,63,670.0,670.0,659.0
2026-02-10,-9.8,-1.46,660.2,30.62,4621,50,662.0,672.0,660.0
2026-02-09,-3.0,-0.45,670.0,52.7,7994,75,672.0,673.0,651.7
2026-02-08,-3.0,-0.44,673.0,20.15,2968,48,677.1,686.0,673.0
2026-02-05,-9.0,-1.31,676.0,64.13,9541,60,673.0,681.0,669.0
2026-02-04,5.0,0.74,685.0,8.83,1305,28,669.0,685.0,669.0
2026-02-03,1.0,0.15,680.0,40.57,6053,50,671.1,681.9,668.1
2026-02-02,8.0,1.19,679.0,17.54,2611,49,671.0,683.0,670.0
2026-02-01,-17.0,-2.47,671.0,59.4,8779,65,701.0,701.0,671.0
2026-01-29,-7.0,-1.01,688.0,19.71,2872,38,682.1,690.0,682.1
2026-01-28,4.9,0.71,695.0,15.8,2296,42,680.1,697.9,680.1
2026-01-27,-17.9,-2.53,690.1,73.7,10563,78,708.0,714.0,690.0
2026-01-26,-11.0,-1.53,708.0,69.67,9798,75,707.1,721.2,706.0
2026-01-25,20.0,2.86,719.0,62.42,8796,102,697.1,722.0,697.0
2026-01-22,4.0,0.58,699.0,23.5,3405,61,681.1,700.0,671.1
2026-01-21,-7.0,-1.0,695.0,31.13,4455,43,713.9,713.9,694.0
2026-01-20,17.0,2.48,702.0,58.07,8298,97,686.0,710.0,686.0
2026-01-18,10.0,1.48,685.0,24.94,3653,46,683.0,686.2,677.6
2026-01-14,-3.0,-0.44,675.0,18.02,2698,39,666.0,675.0,664.5
2026-01-13,1.2,0.18,678.0,10.36,1545,32,670.0,679.0,666.2
2026-01-12,0.7,0.1,676.8,25.22,3771,53,668.0,680.0,665.0
2026-01-08,-3.9,-0.57,676.1,12.78,1898,44,666.4,680.0,666.4
2026-01-07,1.2,0.18,680.0,18.27,2698,31,680.0,680.0,673.0
2026-01-06,2.8,0.41,678.8,13.06,1935,38,669.0,695.0,664.1
2026-01-05,2.5,0.37,676.0,10.47,1560,34,680.0,680.0,669.0
2026-01-04,0.5,0.07,673.5,22.92,3419,38,673.0,675.0,662.0
2026-01-01,-11.0,-1.61,673.0,17.71,2636,39,681.0,685.0,668.0
2025-12-31,4.0,0.59,684.0,12.39,1831,35,668.3,684.0,668.3
2025-12-29,1.0,0.15,680.0,14.37,2144,34,691.0,691.0,667.0
2025-12-28,11.1,1.66,679.0,26.22,3908,53,667.0,679.0,662.0
2025-12-24,0.9,0.13,667.9,10.49,1583,35,655.0,673.0,653.8
2025-12-23,1.0,0.15,667.0,21.8,3300,36,661.2,671.0,656.1
2025-12-22,-8.5,-1.26,666.0,16.98,2551,37,665.1,671.1,662.0
2025-12-21,-18.4,-2.66,674.5,50.08,7477,88,679.1,679.1,666.0
2025-12-18,-6.0,-0.86,692.9,17.71,2576,45,695.0,698.0,681.2
2025-12-17,1.9,0.27,698.9,15.5,2225,31,697.0,706.9,689.5
2025-12-16,12.0,1.75,697.0,41.05,5910,50,686.0,703.9,677.0
2025-12-15,3.0,0.44,685.0,31.12,4553,44,670.2,694.0,670.1
2025-12-14,-0.5,-0.07,682.0,9.71,1423,31,689.0,690.0,675.4
2025-12-11,-2.5,-0.36,682.5,25.06,3690,42,677.0,685.0,677.0
2025-12-10,-0.1,-0.01,685.0,19.37,2832,28,677.0,689.9,677.0
2025-12-09,-4.9,-0.71,685.1,55.98,8075,45,683.0,699.9,683.0
2025-12-08,-4.0,-0.58,690.0,13.08,1893,47,694.0,703.0,686.0
2025-12-07,-3.0,-0.43,694.0,12.01,1740,36,686.0,695.0,686.0
2025-12-03,-5.0,-0.71,697.0,43.41,6197,56,688.0,709.8,688.0
2025-12-02,-1.5,-0.21,702.0,17.94,2562,34,709.7,709.7,696.1
2025-12-01,7.0,1.01,703.5,50.68,7261,78,692.1,706.9,690.0
2025-11-30,-10.4,-1.47,696.5,31.32,4493,61,692.8,709.0,690.0
2025-11-27,2.0,0.28,706.9,,21223,62,704.9,709.8,694.0
2025-11-26,0.9,0.13,704.9,18.81,2695,45,704.0,704.9,692.1
2025-11-25,-0.8,-0.11,704.0,22.63,3232,51,718.8,718.8,695.0
2025-11-24,5.0,0.71,704.8,19.93,2838,43,712.0,713.7,695.3
2025-11-23,12.9,1.88,699.8,44.98,6396,60,700.5,714.6,692.6
2025-11-20,-3.0,-0.43,686.9,12.54,1847,32,680.4,689.0,677.1
2025-11-19,-5.1,-0.73,689.9,13.53,1970,23,703.0,703.0,679.4
2025-11-18,3.2,0.46,695.0,25.55,3689,63,691.8,702.0,683.0
2025-11-17,2.8,0.41,691.8,15.93,2326,39,675.3,694.0,675.3
2025-11-16,3.0,0.44,689.0,28.15,4094,26,686.0,691.8,674.3
2025-11-13,7.0,1.03,686.0,,22417,53,687.0,690.0,677.0
2025-11-12,3.0,0.44,679.0,25.94,3825,47,667.0,680.0,667.0
2025-11-11,1.0,0.15,676.0,74.69,11199,54,682.9,682.9,661.5
2025-11-10,5.0,0.75,675.0,,21261,59,679.0,705.0,669.0
2025-11-09,-5.0,-0.74,670.0,16.53,2482,26,662.5,672.0,662.5
2025-11-06,-2.0,-0.3,675.0,42.76,6327,39,684.0,686.0,671.2
2025-11-05,-2.0,-0.29,677.0,12.11,1801,22,668.7,678.4,668.7
2025-11-04,-3.0,-0.44,679.0,33.35,4952,39,670.0,680.0,670.0
2025-11-03,2.0,0.29,682.0,36.35,5355,51,693.6,693.6,670.0
2025-11-02,11.0,1.64,680.0,45.15,6670,71,669.0,682.0,669.0
2025-10-30,0.0,0.0,669.0,47.87,7186,59,674.0,674.0,657.0
2025-10-29,-6.0,-0.89,669.0,59.3,8987,91,662.0,683.4,650.0
2025-10-28,26.8,4.13,675.0,79.62,12091,61,658.0,680.0,646.1
2025-10-26,-11.8,-1.79,648.2,3.13,480,13,647.0,660.0,647.0
2025-10-19,6.0,0.92,660.0,14.74,2278,23,652.1,663.9,641.1
2025-10-16,-5.9,-0.89,654.0,7.76,1197,28,653.0,660.0,646.8
2025-10-15,-1.1,-0.17,659.9,14.17,2173,40,653.1,660.0,648.0
2025-10-14,-15.0,-2.22,661.0,36.24,5513,53,663.1,666.0,651.0
2025-10-13,8.0,1.2,676.0,25.79,3863,56,668.0,681.0,665.0
2025-10-12,-32.0,-4.57,668.0,39.72,5910,53,687.0,688.0,660.1
2025-10-09,9.5,1.38,700.0,36.1,5242,65,704.3,719.0,675.0
2025-10-08,-12.5,-1.78,690.5,23.9,3510,55,705.0,705.0,676.0
2025-10-07,-10.0,-1.4,703.0,9.71,1400,27,701.0,703.1,687.0
2025-09-28,2.0,0.28,713.0,7.1,1006,24,713.0,715.0,702.0
2025-09-25,-5.9,-0.82,711.0,6.14,863,24,715.0,715.0,704.0
2025-09-24,-3.1,-0.43,716.9,8.57,1202,26,713.0,716.9,710.1
2025-09-23,7.81,1.1,720.0,7.02,982,33,722.0,722.0,710.0
2025-09-21,19.7,2.84,712.19,72.29,10454,105,678.7,734.0,670.0
2025-09-08,-5.94,-0.85,692.49,20.93,3008,31,698.0,701.0,691.1
2025-09-07,-4.17,-0.59,698.43,15.99,2280,40,695.0,705.0,695.0
2025-09-04,1.75,0.25,702.6,21.47,3060,37,705.0,705.0,699.0
2025-09-03,-7.65,-1.08,700.85,28.01,3993,59,708.5,719.0,700.4
2025-09-02,-6.86,-0.96,708.5,34.15,4811,72,720.0,720.0,705.0
