DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,64.0,4.57,1465.0,,67993,1247,1401.0,1489.9,1400.4
2026-05-07,-3.0,-0.21,1401.0,,25074,594,1333.8,1439.0,1333.8
2026-05-06,-7.1,-0.5,1404.0,,41957,827,1390.1,1447.0,1390.1
2026-05-05,3.1,0.22,1411.1,,34777,921,1478.4,1478.4,1381.1
2026-05-04,-89.0,-5.95,1408.0,,45235,1040,1550.0,1550.0,1401.0
2026-04-30,52.0,3.6,1497.0,,87391,1783,1462.0,1544.0,1378.0
2026-04-29,-75.0,-4.93,1445.0,,102090,1901,1520.0,1520.0,1435.0
2026-04-28,-68.0,-4.28,1520.0,,87894,1760,1585.0,1620.0,1515.0
2026-04-27,9.0,0.57,1588.0,,37498,1023,1655.0,1655.0,1580.0
2026-04-24,-21.0,-1.31,1579.0,,92456,1417,1600.0,1600.0,1552.1
2026-04-23,-45.0,-2.74,1600.0,,66822,1273,1700.0,1700.0,1590.0
2026-04-22,-35.0,-2.08,1645.0,,165694,2752,1680.0,1700.0,1589.0
2026-04-21,-35.4,-2.06,1680.0,,105818,1831,1715.4,1730.0,1670.0
2026-04-20,-34.6,-1.98,1715.4,,75166,1443,1750.0,1770.0,1715.4
2026-04-17,-21.0,-1.19,1750.0,,132703,1883,1775.0,1775.0,1721.0
2026-04-16,-73.0,-3.96,1771.0,,287358,2690,1830.0,1835.0,1765.0
2026-04-15,3.0,0.16,1844.0,,111290,1705,1841.0,1865.0,1825.0
2026-04-13,-8.0,-0.43,1841.0,,174910,1968,1849.0,1860.0,1820.0
2026-04-10,-36.0,-1.91,1849.0,,131213,1619,1885.0,1922.0,1830.0
2026-04-09,-16.0,-0.84,1885.0,,181302,2437,1864.0,1960.0,1864.0
2026-04-08,62.0,3.37,1901.0,,251874,2588,1840.0,1903.0,1815.0
2026-04-07,19.0,1.04,1839.0,,127619,1602,1820.0,1893.0,1810.0
2026-04-06,61.0,3.47,1820.0,,148598,1921,1750.0,1845.0,1740.0
2026-04-05,-86.0,-4.66,1759.0,,172225,2516,1808.1,1830.0,1717.2
2026-04-02,2.0,0.11,1845.0,,194397,2262,1806.2,1880.0,1806.2
2026-04-01,-56.9,-2.99,1843.0,,144439,1872,1871.0,1899.0,1830.0
2026-03-31,6.9,0.36,1899.9,,199349,2381,1893.0,1916.0,1847.0
2026-03-30,-33.1,-1.72,1893.0,,172198,2599,1920.0,1960.0,1887.6
2026-03-29,-93.8,-4.64,1926.1,,199954,2852,2010.0,2020.0,1925.1
2026-03-26,79.9,4.12,2019.9,,357168,5812,1940.0,2065.0,1940.0
2026-03-25,65.0,3.47,1940.0,,231213,3341,1838.0,2031.0,1838.0
2026-03-24,20.0,1.08,1875.0,,147624,1958,1855.0,1920.0,1840.0
2026-03-23,-10.0,-0.54,1855.0,,120648,1809,1827.7,1870.0,1827.7
2026-03-22,10.0,0.54,1865.0,,193835,2335,1855.0,1897.0,1845.0
2026-03-19,16.9,0.92,1855.0,,184387,2225,1838.0,1912.0,1802.0
2026-03-17,-27.9,-1.5,1838.1,,100790,1377,1878.0,1889.9,1830.0
2026-03-16,33.0,1.8,1866.0,,200933,2564,1833.0,1897.0,1812.0
2026-03-15,-17.0,-0.92,1833.0,,82835,1938,1850.0,1887.0,1825.0
2026-03-12,-41.1,-2.17,1850.0,,158269,1941,1891.1,1917.9,1840.0
