DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.7,1.57,433.7,,33752,183,427.0,434.0,426.4
2026-05-07,-4.0,-0.93,427.0,,33787,210,430.1,433.0,427.0
2026-05-06,0.8,0.19,431.0,,26090,136,429.0,433.9,427.1
2026-05-05,-0.9,-0.21,430.2,,35565,153,428.4,434.0,425.3
2026-05-04,-2.9,-0.67,431.1,,45091,208,434.0,440.0,430.4
2026-04-30,-5.0,-1.14,434.0,,50711,197,440.0,440.0,430.7
2026-04-29,-4.0,-0.9,439.0,,56543,190,465.0,465.0,436.5
2026-04-28,4.5,1.03,443.0,,86741,261,438.5,446.8,438.5
2026-04-27,-0.8,-0.18,438.5,,53914,243,439.3,443.9,437.0
2026-04-24,-1.7,-0.39,439.3,,38977,152,454.2,454.2,436.1
2026-04-23,-3.0,-0.68,441.0,,30890,182,444.0,448.9,438.1
2026-04-22,4.0,0.91,444.0,,99782,253,440.0,444.9,437.1
2026-04-21,-5.0,-1.12,440.0,,108087,258,422.8,449.0,422.8
2026-04-20,-1.0,-0.22,445.0,,100310,351,443.4,445.4,440.2
2026-04-17,1.9,0.43,446.0,,36152,267,450.0,452.0,444.0
2026-04-16,-8.9,-1.96,444.1,,84831,319,455.0,455.0,444.0
2026-04-15,-1.0,-0.22,453.0,,111264,491,463.0,463.0,450.0
2026-04-13,10.3,2.32,454.0,,97040,546,452.5,459.0,449.0
2026-04-10,-3.4,-0.76,443.7,,103386,327,450.0,450.0,443.2
2026-04-09,3.0,0.68,447.1,,150848,567,449.0,455.9,442.2
2026-04-08,2.1,0.48,444.1,,64894,274,442.0,450.1,441.0
2026-04-07,-4.3,-0.96,442.0,,87866,261,451.0,455.0,441.0
2026-04-06,11.3,2.6,446.3,,122567,551,431.0,454.0,427.0
2026-04-05,-13.2,-2.95,435.0,,136660,441,441.2,444.0,431.3
2026-04-02,-4.8,-1.06,448.2,,115950,378,446.1,456.0,441.0
2026-04-01,-5.0,-1.09,453.0,,200990,439,464.9,464.9,448.0
2026-03-31,-0.1,-0.02,458.0,,193642,675,459.0,462.0,446.0
2026-03-30,-1.9,-0.41,458.1,,160850,694,460.0,464.9,455.0
2026-03-29,-7.0,-1.5,460.0,,260759,934,470.0,472.0,455.0
2026-03-26,2.0,0.43,467.0,,271739,787,470.0,470.0,456.0
2026-03-25,6.0,1.31,465.0,,310103,934,450.0,466.0,450.0
2026-03-24,11.0,2.46,459.0,,389316,1182,445.0,467.0,445.0
