DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,11.0,1.84,610.0,14.02,2344,53,590.0,615.9,590.0
2026-05-07,-1.0,-0.17,599.0,12.37,2066,29,600.0,601.0,595.0
2026-05-06,0.0,0.0,600.0,7.6,1268,29,618.0,632.0,594.8
2026-05-05,-16.5,-2.68,600.0,32.48,5378,82,634.0,634.0,595.0
2026-05-04,-20.5,-3.22,616.5,11.44,1843,49,618.1,630.0,615.1
2026-04-30,-1.6,-0.25,637.0,2.77,432,20,657.7,675.0,636.0
2026-04-29,-8.4,-1.3,638.6,7.86,1230,28,629.0,649.0,629.0
2026-04-28,8.9,1.39,647.0,15.08,2333,61,638.1,655.0,635.0
2026-04-27,3.1,0.49,638.1,9.61,1501,52,635.0,653.5,633.9
2026-04-24,-7.0,-1.09,635.0,23.02,3649,57,625.1,640.0,625.1
2026-04-23,-18.0,-2.73,642.0,13.05,2018,34,655.0,655.0,642.0
2026-04-22,10.0,1.54,660.0,8.53,1317,33,635.0,660.0,634.1
2026-04-21,-8.0,-1.22,650.0,23.13,3540,59,670.0,670.0,645.1
2026-04-20,-2.1,-0.32,658.0,23.45,3606,49,660.1,660.1,642.0
2026-04-17,-5.9,-0.89,660.1,27.87,4196,58,667.8,677.7,660.0
2026-04-16,-14.0,-2.06,666.0,27.35,4096,59,678.0,681.0,659.7
2026-04-15,-2.0,-0.29,680.0,58.84,8670,97,685.0,689.0,672.3
2026-04-13,-13.0,-1.87,682.0,25.75,3760,72,690.0,697.0,677.1
2026-04-10,-5.0,-0.71,695.0,11.4,1645,24,714.0,714.0,687.0
2026-04-09,14.0,2.04,700.0,48.21,6855,88,699.7,724.0,699.0
2026-04-08,-16.0,-2.28,686.0,62.69,9099,83,710.0,713.0,685.0
2026-04-07,24.0,3.54,702.0,26.7,3840,62,691.4,714.0,680.0
2026-04-06,38.0,5.94,678.0,27.1,4008,90,652.8,698.0,650.0
2026-04-05,-64.6,-9.17,640.0,64.15,9732,147,716.9,716.9,640.0
2026-04-02,-14.3,-1.99,704.6,34.14,4817,83,705.0,719.0,704.0
2026-04-01,-15.1,-2.06,718.9,23.1,3250,49,734.0,734.0,707.0
2026-03-31,0.0,0.0,734.0,38.44,5337,93,730.0,740.0,708.0
2026-03-30,0.0,0.0,734.0,33.15,4520,82,719.4,753.0,719.4
2026-03-29,-16.0,-2.13,734.0,82.82,11254,88,750.2,750.2,733.0
2026-03-26,12.0,1.63,750.0,51.43,6894,99,751.0,759.0,739.0
2026-03-25,-20.0,-2.64,738.0,60.98,8160,94,759.0,759.0,738.0
2026-03-24,9.1,1.22,758.0,64.63,8590,109,734.0,796.0,734.0
2026-03-23,-0.6,-0.08,748.9,61.23,8244,128,759.9,759.9,738.0
2026-03-22,-13.5,-1.77,749.5,,28450,321,778.2,793.0,740.0
2026-03-19,-11.9,-1.54,763.0,,24790,308,761.0,783.0,751.0
2026-03-17,5.9,0.77,774.9,45.58,5931,82,769.0,777.7,760.0
2026-03-16,-14.9,-1.9,769.0,38.99,5046,84,768.3,789.9,768.3
2026-03-15,-27.2,-3.35,783.9,47.21,5925,94,794.9,842.0,774.2
2026-03-12,-16.9,-2.04,811.1,35.68,4377,73,819.6,843.9,803.6
2026-03-11,-47.0,-5.37,828.0,,13182,164,857.5,857.5,808.0
2026-03-10,72.8,9.08,875.0,,41097,304,818.2,875.0,763.0
2026-03-09,46.2,6.11,802.2,,120,5,771.1,802.2,771.1
2026-03-03,14.0,1.89,756.0,21.71,2895,51,727.2,767.9,727.2
2026-03-01,17.0,2.34,742.0,27.99,3815,69,711.0,744.4,711.0
2026-02-26,5.0,0.69,725.0,23.86,3283,32,731.0,731.0,715.0
2026-02-25,-8.0,-1.1,720.0,31.53,4430,67,713.5,739.5,699.3
2026-02-24,0.0,0.0,728.0,15.6,2135,48,718.7,742.5,718.5
2026-02-23,-0.3,-0.04,728.0,26.82,3698,39,716.0,742.0,716.0
2026-02-22,-31.7,-4.17,728.3,20.47,2741,64,747.0,774.0,711.0
2026-02-17,-13.0,-1.68,760.0,27.28,3578,57,763.1,774.0,755.0
2026-02-16,2.5,0.32,773.0,26.18,3355,52,760.0,799.9,760.0
2026-02-12,-13.5,-1.72,770.5,34.9,4465,61,768.4,792.0,768.4
2026-02-11,-1.0,-0.13,784.0,63.33,8084,56,770.0,791.6,770.0
2026-02-10,-7.0,-0.88,785.0,28.53,3664,67,785.0,795.0,775.2
2026-02-09,-14.0,-1.74,792.0,33.48,4233,81,820.0,820.0,787.0
2026-02-08,5.0,0.62,806.0,,15615,157,817.0,832.0,793.1
2026-02-05,15.0,1.91,801.0,,14043,115,785.0,809.9,772.4
2026-02-04,1.0,0.13,786.0,24.33,3124,49,796.5,796.5,770.0
2026-02-03,17.8,2.32,785.0,80.83,10341,134,761.0,797.5,761.0
2026-02-02,-15.8,-2.02,767.2,76.57,9905,116,786.0,793.9,765.0
2026-02-01,-17.0,-2.12,783.0,,22967,145,786.0,801.0,775.0
2026-01-29,-4.0,-0.5,800.0,82.26,10305,127,792.0,812.0,792.0
