DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,30.9,3.92,819.9,,18615,406,789.0,819.9,776.4
2026-05-07,9.0,1.15,789.0,86.08,11007,235,775.0,790.0,773.3
2026-05-06,-4.0,-0.51,780.0,88.52,11313,210,773.0,794.0,772.0
2026-05-05,7.1,0.91,784.0,,13993,326,775.0,791.2,766.2
2026-05-04,-13.1,-1.66,776.9,93.48,11969,290,795.0,800.0,775.1
2026-04-30,-4.0,-0.5,790.0,,19889,384,794.0,804.0,777.7
2026-04-29,-13.1,-1.62,794.0,,18580,455,825.0,825.0,790.0
2026-04-28,-15.9,-1.93,807.1,,14418,431,823.0,825.0,806.3
2026-04-27,12.9,1.59,823.0,,13799,440,770.0,830.0,770.0
2026-04-24,-9.9,-1.21,810.1,,21960,367,850.0,850.0,790.0
2026-04-23,-15.0,-1.8,820.0,,21675,446,838.0,840.0,810.0
2026-04-22,-2.1,-0.25,835.0,,29546,563,828.1,845.0,807.2
2026-04-21,-9.1,-1.08,837.1,,14614,434,888.0,888.0,835.0
2026-04-20,-6.8,-0.8,846.2,,15819,420,825.0,867.0,825.0
2026-04-17,8.8,1.04,853.0,,22259,451,828.0,860.0,828.0
2026-04-16,-23.0,-2.65,844.2,,24664,511,849.9,883.0,840.0
2026-04-15,7.2,0.84,867.2,,19341,465,860.0,879.9,851.0
2026-04-13,-10.0,-1.15,860.0,,27952,504,860.1,879.8,855.0
2026-04-10,-22.0,-2.47,870.0,,47562,552,893.0,899.9,860.0
2026-04-09,12.0,1.36,892.0,,44699,623,890.0,904.7,867.0
2026-04-08,52.0,6.28,880.0,,43765,665,844.0,880.0,830.3
2026-04-07,-7.0,-0.84,828.0,,31875,464,851.7,851.7,822.0
2026-04-06,38.0,4.77,835.0,,49565,677,800.0,843.9,797.0
2026-04-05,-63.0,-7.33,797.0,,64190,910,850.0,874.0,795.0
2026-04-02,-10.0,-1.15,860.0,,38602,584,875.0,885.0,852.6
2026-04-01,-32.0,-3.55,870.0,,46741,620,900.0,902.0,862.0
2026-03-31,7.8,0.87,902.0,,53728,839,895.0,913.0,868.6
2026-03-30,-33.8,-3.64,894.2,,50858,830,928.0,937.0,894.1
2026-03-29,-47.0,-4.82,928.0,,54821,818,994.0,994.0,928.0
2026-03-26,21.0,2.2,975.0,,60186,1042,954.0,985.0,945.0
2026-03-25,21.0,2.25,954.0,,71281,1104,930.0,973.0,925.0
2026-03-24,5.0,0.54,933.0,,32568,626,928.0,942.0,925.0
