DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,51.0,10.0,561.0,36.88,7042,64,496.0,561.3,496.0
2026-05-07,18.9,3.85,510.0,49.18,9769,69,476.4,512.0,476.4
2026-05-06,-11.5,-2.29,491.1,24.29,4806,50,491.0,517.0,490.0
2026-05-05,2.6,0.52,502.6,,26097,82,485.2,529.9,480.0
2026-05-04,-8.0,-1.57,500.0,29.88,6020,53,518.9,519.0,490.0
2026-04-30,-12.0,-2.31,508.0,27.45,5458,60,546.0,546.0,485.0
2026-04-29,-39.0,-6.98,520.0,,29418,75,542.5,550.0,520.0
2026-04-28,-7.0,-1.24,559.0,66.33,12082,86,566.0,560.0,545.0
2026-04-27,-4.0,-0.7,566.0,75.12,13602,69,570.0,587.0,550.0
2026-04-24,0.0,0.0,570.0,52.22,9441,49,555.0,570.0,550.0
2026-04-23,12.6,2.26,570.0,,29867,128,585.2,599.0,550.0
2026-04-22,-7.6,-1.35,557.4,,26066,88,556.0,570.0,554.0
2026-04-21,-5.0,-0.88,565.0,43.34,7667,54,590.0,590.0,563.1
2026-04-20,-5.8,-1.01,570.0,29.78,5250,43,604.5,604.5,560.0
2026-04-17,-3.2,-0.55,575.8,76.59,13408,80,569.0,583.0,565.0
2026-04-16,-4.9,-0.84,579.0,,18729,91,595.5,595.5,568.0
2026-04-15,2.9,0.5,583.9,,24303,107,592.0,601.8,571.6
2026-04-13,-3.0,-0.51,581.0,71.07,12244,103,578.0,606.0,566.5
2026-04-10,-15.9,-2.65,584.0,,21143,152,595.0,598.9,583.1
2026-04-09,-10.1,-1.66,599.9,,23061,120,621.9,621.9,590.0
2026-04-08,2.0,0.33,610.0,,19502,118,612.1,612.1,588.0
2026-04-07,48.3,8.63,608.0,,30125,160,560.0,608.0,560.0
2026-04-06,12.8,2.34,559.7,,20073,96,557.0,571.0,554.0
2026-04-05,-36.1,-6.19,546.9,,25991,100,571.4,588.0,546.9
2026-04-02,5.0,0.87,583.0,,22283,108,570.0,612.5,566.6
2026-04-01,-28.0,-4.62,578.0,98.02,16940,97,618.1,618.1,575.0
2026-03-31,0.0,0.0,606.0,,23488,115,600.0,606.0,595.0
2026-03-30,-23.7,-3.76,606.0,,49099,130,617.2,627.0,604.0
2026-03-29,2.7,0.43,629.7,,61204,159,630.0,630.0,605.1
2026-03-26,5.1,0.82,627.0,,32038,137,621.9,627.0,609.5
2026-03-25,14.9,2.45,621.9,,39353,170,610.0,626.0,610.0
2026-03-24,-6.0,-0.98,607.0,,21841,114,619.0,624.0,605.0
2026-03-23,-1.0,-0.16,613.0,,22979,138,607.0,617.0,604.7
2026-03-22,-6.0,-0.97,614.0,,68162,153,631.0,631.0,610.3
2026-03-19,-4.0,-0.64,620.0,,36503,180,630.0,636.4,613.1
2026-03-17,-5.5,-0.87,624.0,,65420,115,642.0,642.0,620.0
2026-03-16,-10.5,-1.64,629.5,,68750,156,645.0,645.0,622.1
2026-03-15,26.9,4.39,640.0,,71877,272,607.0,645.0,607.0
2026-03-12,-19.9,-3.14,613.1,,43141,142,645.0,645.0,613.1
2026-03-11,-10.0,-1.56,633.0,,49630,131,630.2,641.0,619.0
