DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,16.0,3.66,453.0,38.22,8609,71,437.1,453.0,433.0
2026-05-07,-1.0,-0.23,437.0,11.03,2538,36,438.0,439.0,433.5
2026-05-06,2.0,0.46,438.0,13.18,3040,45,436.1,443.0,432.1
2026-05-05,1.0,0.23,436.0,10.98,2539,48,430.0,438.0,428.0
2026-05-04,-4.7,-1.07,435.0,9.27,2139,56,430.0,440.0,430.0
2026-04-30,1.7,0.39,439.7,17.45,3998,82,436.3,439.8,431.0
2026-04-29,-8.0,-1.79,438.0,41.24,9360,102,442.6,444.9,438.0
2026-04-28,1.0,0.22,446.0,15.51,3487,78,445.0,450.5,442.0
2026-04-27,-0.1,-0.02,445.0,26.12,5838,89,445.1,453.0,442.7
2026-04-24,-4.8,-1.07,445.1,20.22,4553,52,449.9,449.8,440.5
2026-04-23,-0.1,-0.02,449.9,13.31,2973,55,450.0,455.0,445.0
2026-04-22,-2.0,-0.44,450.0,75.45,16970,141,450.0,452.0,440.0
2026-04-21,-6.9,-1.5,452.0,25.75,5669,88,452.0,459.9,452.0
2026-04-20,-6.1,-1.31,458.9,33.19,7272,76,455.0,470.0,451.5
2026-04-17,2.2,0.48,465.0,63.1,13699,120,462.0,468.9,455.1
2026-04-16,-4.2,-0.9,462.8,79.49,17272,146,467.0,467.0,459.0
2026-04-15,-0.9,-0.19,467.0,51.07,10882,134,474.0,474.0,465.0
2026-04-13,1.9,0.41,467.9,46.9,10140,119,457.0,469.2,456.0
2026-04-10,1.0,0.22,466.0,55.64,12115,106,465.0,467.0,455.7
2026-04-09,2.0,0.43,465.0,38.09,8201,107,463.0,470.9,457.2
2026-04-08,4.1,0.89,463.0,79.71,17260,151,460.0,467.9,456.5
2026-04-07,-4.0,-0.86,458.9,69.79,15236,123,465.0,470.0,455.0
2026-04-06,21.4,4.85,462.9,,28623,181,442.0,463.0,442.0
2026-04-05,-16.5,-3.6,441.5,,33541,244,449.0,453.0,441.5
2026-04-02,2.0,0.44,458.0,92.41,20231,170,450.0,472.0,447.3
2026-04-01,-21.8,-4.56,456.0,,30662,217,470.1,470.1,456.0
2026-03-31,9.8,2.09,477.8,,24933,199,477.0,478.0,462.0
2026-03-30,-8.0,-1.68,468.0,,55957,225,470.0,479.8,465.0
2026-03-29,-19.0,-3.84,476.0,,47821,299,495.0,495.0,476.0
2026-03-26,-3.9,-0.78,495.0,,24837,196,491.0,498.0,486.0
2026-03-25,-10.1,-1.98,498.9,,24332,217,519.1,519.1,492.1
2026-03-24,-0.9,-0.18,509.0,,33343,246,514.0,514.0,498.1
2026-03-23,3.9,0.77,509.9,,53478,392,500.0,510.0,495.0
2026-03-22,18.9,3.88,506.0,,89732,622,496.8,508.9,481.0
2026-03-19,23.4,5.05,487.1,,82165,574,466.0,502.8,463.0
2026-03-17,3.7,0.8,463.7,,23707,171,459.5,466.0,455.0
2026-03-16,-8.0,-1.71,460.0,,22070,181,463.0,467.3,457.0
2026-03-15,0.6,0.13,468.0,,33030,230,465.0,471.0,460.0
2026-03-12,-0.6,-0.13,467.4,96.0,20552,182,472.4,472.4,461.4
2026-03-11,-4.0,-0.85,468.0,77.79,16663,126,481.4,481.4,463.8
