DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,44.0,1.52,2944.0,52.51,1821,60,2800.0,3150.0,2800.0
2026-05-07,-25.0,-0.85,2900.0,28.0,979,31,2925.0,2925.2,2840.0
2026-05-06,26.0,0.9,2925.0,53.2,1856,47,2969.0,2969.0,2826.0
2026-05-05,-79.9,-2.68,2899.0,27.76,956,38,2968.0,2968.0,2889.6
2026-05-04,0.9,0.03,2978.9,17.53,588,34,3049.9,3059.0,2890.0
2026-04-30,-15.5,-0.52,2978.0,51.43,1753,76,2917.0,2998.0,2901.0
2026-04-29,-19.5,-0.65,2993.5,,3399,36,2974.0,3043.0,2911.1
2026-04-28,-2.0,-0.07,3013.0,25.62,863,41,3015.0,3014.9,2945.5
2026-04-27,-39.9,-1.31,3015.0,37.91,1256,49,3054.9,3110.0,2971.0
2026-04-24,-19.1,-0.62,3054.9,,3738,44,3227.7,3227.7,2956.0
2026-04-23,-10.0,-0.32,3074.0,60.72,2010,41,2930.0,3200.0,2930.0
2026-04-22,21.0,0.69,3084.0,23.28,784,22,2971.2,3090.0,2900.0
2026-04-21,-26.8,-0.87,3063.0,35.57,1174,30,3000.0,3098.0,3000.0
2026-04-20,14.7,0.48,3089.8,35.6,1171,32,3070.0,3115.0,3030.0
2026-04-17,-21.8,-0.7,3075.1,91.11,2985,45,3035.0,3099.9,3035.0
2026-04-16,-47.1,-1.5,3096.9,36.04,1180,40,3081.2,3096.9,3045.0
2026-04-15,-146.0,-4.44,3144.0,80.03,2581,80,3224.2,3224.2,3015.0
2026-04-13,220.0,7.17,3290.0,,6052,174,3008.6,3290.0,2948.5
2026-04-10,-25.0,-0.81,3070.0,,3818,78,3150.0,3150.0,2974.5
2026-04-09,-54.0,-1.71,3095.0,77.45,2544,99,3086.1,3200.0,3000.0
2026-04-08,-39.0,-1.22,3149.0,90.84,2994,118,3124.3,3249.7,2980.0
