DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-8.0,-1.54,510.0,33.65,6633,79,503.1,513.8,503.1
2026-05-07,-52.0,-9.12,518.0,,41031,263,541.5,541.5,499.7
2026-05-06,32.0,5.95,570.0,,203859,336,511.1,572.6,499.0
2026-05-05,54.0,11.16,538.0,,43589,154,480.0,550.0,476.0
2026-05-04,-9.9,-2.0,484.0,62.29,12853,77,493.9,500.0,475.9
2026-04-30,-1.1,-0.22,493.9,39.63,8072,57,485.0,495.8,485.0
2026-04-29,10.0,2.06,495.0,51.04,10368,104,499.5,513.0,484.6
2026-04-28,-44.0,-8.32,485.0,,45635,195,510.0,593.0,485.0
2026-04-27,2.8,0.53,529.0,49.02,9445,120,500.0,529.0,500.0
2026-04-24,13.2,2.57,526.2,49.59,9725,104,510.0,526.2,500.0
2026-04-23,7.0,1.38,513.0,97.6,19471,114,500.0,513.0,500.0
2026-04-22,0.0,0.0,506.0,57.19,11460,110,500.0,515.0,489.0
2026-04-21,0.9,0.18,506.0,24.7,4891,91,500.1,509.5,500.0
2026-04-20,-9.9,-1.92,505.1,,28351,140,506.5,512.0,501.0
2026-04-17,-9.0,-1.72,515.0,15.92,3089,65,528.0,528.0,510.0
2026-04-16,-11.0,-2.06,524.0,80.74,15366,136,526.0,556.0,518.1
2026-04-15,-2.0,-0.37,535.0,,77743,287,527.0,579.0,527.0
2026-04-13,7.0,1.32,537.0,,47431,215,530.0,540.0,526.0
2026-04-10,6.3,1.2,530.0,,27842,135,515.0,531.0,515.0
2026-04-09,5.7,1.1,523.7,26.14,5029,86,517.0,523.7,513.0
2026-04-08,18.0,3.6,518.0,57.65,11297,131,490.0,519.0,490.0
2026-04-07,-19.0,-3.66,500.0,72.66,14395,116,509.0,515.0,498.9
2026-04-06,43.0,9.03,519.0,53.77,10927,127,470.0,519.0,470.0
2026-04-05,-30.0,-5.93,476.0,,139525,130,495.9,498.0,470.0
2026-04-02,5.5,1.1,506.0,,20494,162,510.0,519.0,491.0
2026-04-01,-20.5,-3.93,500.5,,21440,137,511.0,530.0,500.0
2026-03-31,0.0,0.0,521.0,65.75,12618,151,515.0,529.0,513.0
2026-03-30,-11.0,-2.07,521.0,,24797,180,530.0,535.0,520.0
2026-03-29,-24.0,-4.32,532.0,,22903,167,556.0,556.0,532.0
2026-03-26,9.0,1.65,556.0,,29386,213,555.0,557.9,545.0
2026-03-25,-6.0,-1.08,547.0,,40535,152,559.0,559.0,546.0
2026-03-24,-6.0,-1.07,553.0,,36014,195,547.9,557.0,547.9
2026-03-23,-2.0,-0.36,559.0,,24622,210,550.3,559.0,544.2
2026-03-22,-4.1,-0.73,561.0,,53101,292,565.2,572.0,548.0
