DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.0,0.18,565.9,88.64,15783,91,560.0,566.0,559.0
2026-05-07,1.0,0.18,564.9,86.21,15404,95,570.0,570.0,556.0
2026-05-06,3.9,0.7,563.9,,36288,153,567.0,571.7,557.0
2026-05-05,0.0,0.0,560.0,,28127,109,560.0,565.0,551.0
2026-05-04,-10.9,-1.91,560.0,,18089,119,570.0,576.3,555.0
2026-04-30,-3.9,-0.68,570.9,,30905,115,569.0,575.0,566.1
2026-04-29,-5.2,-0.9,574.8,,20286,121,572.0,575.0,566.7
2026-04-28,-5.0,-0.85,580.0,,60564,115,585.0,590.0,571.0
2026-04-27,-4.9,-0.83,585.0,,50281,198,589.9,594.0,576.2
2026-04-24,3.9,0.67,589.9,,26802,168,571.0,589.9,571.0
2026-04-23,-8.9,-1.5,586.0,,71487,224,618.7,618.7,579.0
2026-04-22,-0.1,-0.02,594.9,,45614,259,565.3,599.0,565.3
2026-04-21,-10.0,-1.65,595.0,,21917,168,605.0,607.0,589.0
2026-04-20,1.2,0.2,605.0,,56253,236,574.0,624.0,574.0
2026-04-17,0.06,0.01,603.8,,79970,572,615.8,615.8,592.9
2026-04-16,3.2,0.5,646.0,,217148,1012,642.8,655.6,637.1
2026-04-15,3.8,0.59,642.8,,75133,398,627.0,644.0,627.0
2026-04-13,1.5,0.24,639.0,,75651,353,630.0,649.0,630.0
2026-04-10,15.5,2.49,637.5,,123190,592,625.0,640.0,618.0
2026-04-09,6.0,0.97,622.0,,52934,224,623.6,623.6,610.0
2026-04-08,10.1,1.67,616.0,,38455,213,602.0,622.0,602.0
2026-04-07,-2.1,-0.35,605.9,,43793,201,618.9,618.9,601.0
2026-04-06,24.0,4.11,608.0,,108669,396,572.4,616.0,572.4
2026-04-05,-20.0,-3.31,584.0,,135837,401,601.0,601.0,581.5
2026-04-02,3.1,0.52,604.0,,62004,284,605.0,610.0,592.0
2026-04-01,-17.1,-2.77,600.9,,88108,342,620.0,620.0,590.1
2026-03-31,5.9,0.96,618.0,,51598,202,623.0,623.0,610.1
2026-03-30,-14.9,-2.38,612.1,,98076,347,625.0,628.0,610.0
2026-03-29,-10.0,-1.57,627.0,,81138,299,640.0,640.0,623.0
2026-03-26,6.0,0.95,637.0,,60100,252,631.0,643.0,626.0
2026-03-25,-7.0,-1.1,631.0,,74561,238,642.8,642.8,630.0
2026-03-24,2.0,0.31,638.0,,68549,266,643.0,647.0,631.0
2026-03-23,-3.7,-0.58,636.0,,53349,274,641.0,644.0,631.0
2026-03-22,9.7,1.54,639.7,,101681,386,635.0,647.7,630.0
2026-03-19,0.0,0.0,630.0,,189026,527,620.0,639.5,620.0
2026-03-17,5.0,0.8,630.0,,81165,293,621.0,631.0,620.0
2026-03-16,-2.0,-0.32,625.0,,50194,177,623.6,633.0,623.1
2026-03-15,0.1,0.02,627.0,,59685,255,628.0,632.9,624.0
2026-03-12,-4.7,-0.74,626.9,,65132,314,628.5,644.0,625.0
2026-03-11,-10.4,-1.62,631.6,,70843,288,638.0,645.0,631.0
2026-03-10,-27.0,-4.04,642.0,,122827,518,669.0,669.0,632.0
2026-03-09,38.5,6.11,669.0,6.56,980,13,643.1,680.0,643.1
2026-03-03,8.5,1.37,630.5,,49745,199,630.0,633.9,622.2
2026-03-01,-2.0,-0.32,622.0,,42324,157,619.0,627.5,618.7
2026-02-26,-6.9,-1.09,624.0,,55611,205,639.0,639.0,621.0
2026-02-25,9.0,1.45,630.9,,50937,223,628.3,634.0,624.0
2026-02-24,5.9,0.96,621.9,,51660,170,616.0,625.0,614.1
2026-02-23,2.0,0.33,616.0,,34516,180,620.0,620.0,610.6
2026-02-22,1.0,0.16,614.0,,101038,286,613.0,620.9,605.0
2026-02-17,1.0,0.16,613.0,,83875,234,620.0,621.8,606.0
2026-02-16,-2.0,-0.33,612.0,,60769,187,622.0,622.9,610.0
2026-02-12,-1.6,-0.26,614.0,,77866,328,610.0,622.0,610.0
2026-02-11,1.5,0.24,615.6,,63495,237,605.0,626.0,605.0
2026-02-10,-4.9,-0.79,614.1,,125272,421,615.0,628.0,612.0
2026-02-09,-17.0,-2.67,619.0,,102735,388,625.2,648.0,618.0
2026-02-08,-5.0,-0.78,636.0,,125517,329,642.0,644.5,632.0
2026-02-05,8.0,1.26,641.0,,111531,479,633.0,646.0,633.0
2026-02-04,5.0,0.8,633.0,,139704,461,628.0,645.0,625.4
2026-02-03,-15.0,-2.33,628.0,,158879,542,643.0,643.0,620.2
2026-02-02,-14.0,-2.13,643.0,,230730,622,654.0,658.0,632.0
2026-02-01,-30.0,-4.37,657.0,,167879,687,673.3,698.0,640.0
2026-01-29,31.8,4.85,687.0,,696210,1403,658.5,706.0,657.3
2026-01-28,-14.7,-2.19,655.2,,742385,1395,656.6,705.0,650.1
2026-01-27,3.1,0.46,669.9,,221944,872,660.0,674.0,654.0
2026-01-26,18.8,2.9,666.8,,398255,1191,660.9,679.0,648.0
2026-01-25,17.0,2.69,648.0,,477867,950,622.2,648.0,622.2
2026-01-22,12.0,1.94,631.0,,283306,746,612.1,632.0,612.1
2026-01-21,11.6,1.91,619.0,,476052,1149,600.1,620.0,600.1
2026-01-20,10.4,1.74,607.4,,414604,1009,585.1,610.0,585.1
2026-01-18,13.1,2.24,597.0,,191434,704,585.0,615.0,580.1
2026-01-14,16.0,2.82,583.9,,286222,758,560.1,600.0,560.1
2026-01-13,2.2,0.39,567.9,,60460,179,563.0,569.0,563.0
2026-01-12,1.6,0.28,565.7,,76580,184,553.6,567.0,553.6
2026-01-08,-0.9,-0.16,564.1,,54028,202,555.0,565.0,555.0
2026-01-07,0.2,0.04,565.0,,49238,154,564.9,566.4,562.0
2026-01-06,-0.2,-0.04,564.8,,59301,241,555.1,569.59,555.1
2026-01-05,2.0,0.36,565.0,,96953,279,560.0,569.59,560.0
2026-01-04,-1.0,-0.18,563.0,,32612,141,560.0,566.8,558.3
2026-01-01,0.1,0.02,564.0,,56094,158,568.2,568.2,560.1
2025-12-31,2.8,0.5,563.9,,30400,122,569.0,569.0,561.3
2025-12-29,-8.9,-1.56,561.1,,64087,180,570.0,572.7,561.1
2025-12-28,0.1,0.02,570.0,,54592,173,560.1,572.0,560.1
2025-12-24,5.9,1.05,569.9,,47632,177,560.2,570.0,560.1
2025-12-23,5.0,0.89,564.0,,27739,133,559.0,565.0,559.0
2025-12-22,-8.0,-1.41,559.0,,32068,144,575.0,575.0,559.0
2025-12-21,-3.0,-0.53,567.0,,40379,168,560.0,569.9,560.0
2025-12-18,0.1,0.02,570.0,,42676,212,558.6,626.0,558.6
2025-12-17,0.0,0.0,569.9,,59575,156,569.0,571.0,562.0
2025-12-16,2.9,0.51,569.9,,49854,195,560.2,570.0,560.0
2025-12-15,-3.1,-0.54,567.0,,70809,208,560.0,582.0,560.0
2025-12-14,-0.1,-0.02,570.1,,48719,189,560.0,574.0,560.0
2025-12-11,0.3,0.05,570.2,,133569,253,560.0,590.0,560.0
2025-12-10,-2.1,-0.37,569.9,,40219,175,560.6,596.0,560.6
2025-12-09,2.0,0.35,572.0,,34627,191,575.0,575.0,565.0
2025-12-08,-2.0,-0.35,570.0,,86506,267,560.6,571.8,560.6
2025-12-07,-17.9,-3.03,572.0,,234141,426,578.2,597.7,568.0
2025-12-03,2.9,0.49,589.9,,158142,381,576.5,605.0,576.5
2025-12-02,-3.9,-0.66,587.0,,182787,657,580.0,602.0,579.0
2025-12-01,24.9,4.4,590.9,,470614,1392,557.1,610.0,557.1
2025-11-30,1.3,0.23,566.0,,177665,421,555.0,580.0,555.0
2025-11-27,22.4,4.13,564.7,,263596,605,540.0,566.9,535.1
2025-11-26,1.1,0.2,542.3,,69782,182,541.2,545.0,538.0
2025-11-25,1.2,0.22,541.2,,27949,115,547.0,547.0,540.0
2025-11-24,0.0,0.0,540.0,,90610,172,529.5,548.9,529.5
2025-11-23,5.0,0.93,540.0,,118305,239,525.0,545.7,525.0
2025-11-20,0.7,0.13,535.0,,34208,140,532.1,535.0,530.0
2025-11-19,1.3,0.24,534.3,,25310,126,533.0,536.9,530.0
2025-11-18,8.5,1.62,533.0,,30390,138,525.0,534.9,525.0
2025-11-17,-2.5,-0.47,524.5,,20158,102,523.3,530.0,523.3
2025-11-16,-3.0,-0.57,527.0,,29157,120,530.0,531.5,523.0
2025-11-13,4.0,0.76,530.0,,25346,114,515.5,534.0,515.5
2025-11-12,0.1,0.02,526.0,,32046,116,521.0,530.0,518.0
2025-11-11,-2.6,-0.49,525.9,,46754,119,525.2,530.0,523.1
2025-11-10,-0.5,-0.09,528.5,,39887,120,525.6,533.8,525.1
2025-11-09,1.0,0.19,529.0,,37539,119,525.0,530.0,522.2
2025-11-06,0.0,0.0,528.0,,156792,224,530.0,540.0,526.1
2025-11-05,-4.0,-0.75,528.0,,30235,149,527.1,531.0,522.3
2025-11-04,-3.0,-0.56,532.0,,61433,228,527.3,539.0,527.3
2025-11-03,-7.0,-1.29,535.0,,197096,290,542.0,550.0,532.3
2025-11-02,7.0,1.31,542.0,,73603,280,530.2,545.0,530.2
2025-10-30,2.0,0.38,535.0,,92034,269,528.0,538.7,525.4
2025-10-29,4.2,0.79,533.0,,228526,390,518.5,535.9,518.5
2025-10-28,15.8,3.08,528.8,,35173,159,519.6,532.0,515.0
2025-10-26,-1.0,-0.19,513.0,,67152,140,515.5,519.9,512.0
2025-10-19,4.0,0.78,514.0,,159671,368,502.1,540.0,502.1
2025-10-16,1.0,0.2,510.0,,152517,188,500.1,510.0,500.1
2025-10-15,-3.0,-0.59,509.0,,54812,136,504.1,509.9,500.0
2025-10-14,-2.0,-0.39,512.0,,47010,153,517.0,518.0,504.2
2025-10-13,3.1,0.61,514.0,,173887,262,511.0,517.0,501.0
2025-10-12,-13.1,-2.5,510.9,,156412,424,525.1,525.1,495.0
2025-10-09,2.0,0.38,524.0,,80280,307,530.0,542.6,514.1
2025-10-08,-17.9,-3.32,522.0,,268378,457,548.8,548.8,512.2
2025-10-07,-14.7,-2.65,539.9,,80206,315,545.0,553.0,528.3
2025-09-28,4.6,0.84,554.6,,56918,147,550.0,554.9,544.0
2025-09-25,0.1,0.02,550.0,,55369,179,549.9,550.0,542.0
2025-09-24,-6.0,-1.08,549.9,,85537,308,551.1,554.9,545.0
2025-09-23,-2.0,-0.36,555.9,,69310,256,556.1,566.0,553.7
2025-09-21,15.9,2.93,557.9,,143556,452,531.2,563.0,531.2
2025-09-18,-33.49,-5.82,542.0,,33750,108,565.0,565.0,531.3
2025-09-08,-0.46,-0.08,575.49,,288366,508,570.0,577.0,570.0
2025-09-07,-1.73,-0.3,575.95,,110223,280,570.0,580.0,570.0
2025-09-04,1.21,0.21,577.68,,115715,332,570.0,579.5,570.0
2025-09-03,0.45,0.08,576.47,,189753,480,570.0,578.0,570.0
2025-09-02,-3.27,-0.56,576.02,,169194,422,575.2,581.6,571.6
2025-09-01,2.61,0.45,579.29,,138103,393,573.5,583.0,573.0
2025-08-31,-1.13,-0.2,576.68,,96563,281,578.0,579.7,573.0
2025-08-28,-3.25,-0.56,577.81,,339552,590,582.0,582.0,569.8
2025-08-27,5.64,0.98,581.06,,76940,333,572.0,584.6,572.0
2025-08-26,1.77,0.31,575.42,,51948,211,575.7,577.0,572.1
2025-08-25,0.25,0.04,573.65,,88337,317,570.2,575.8,570.2
2025-08-24,-1.08,-0.19,573.4,,101202,325,570.0,579.4,570.0
2025-08-21,3.69,0.65,574.48,,95382,384,581.9,581.9,569.9
2025-08-20,-10.62,-1.83,570.79,,219123,924,580.0,582.0,570.0
2025-08-19,-25.39,-4.18,581.41,,534227,1311,594.7,608.8,578.0
2025-08-18,3.4,0.56,606.8,,258797,650,591.4,615.0,588.0
2025-08-17,-2.38,-0.39,603.4,,211811,775,600.0,609.0,600.0
2025-08-14,1.99,0.33,605.78,,245434,980,598.0,625.0,598.0
2025-08-13,10.99,1.85,603.79,,457123,1622,587.0,606.0,587.0
2025-08-12,4.29,0.73,592.8,,246483,908,582.0,600.0,582.0
2025-08-11,1.9,0.32,588.51,,304272,1106,584.0,596.8,580.0
2025-08-07,14.66,2.56,586.61,,359089,1437,564.1,591.3,564.1
2025-08-06,13.92,2.49,571.95,,321866,1036,554.0,576.0,554.0
2025-08-05,9.26,1.69,558.03,,221293,583,542.0,562.0,542.0
2025-08-04,2.93,0.54,548.77,,127200,396,556.7,556.7,544.0
2025-08-03,-3.46,-0.63,545.84,,121072,533,548.0,554.5,545.0
