DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.0,1.71,535.0,26.59,5011,40,526.0,535.0,525.5
2026-05-07,-4.0,-0.75,526.0,17.74,3371,32,522.0,535.0,522.0
2026-05-06,2.0,0.38,530.0,28.31,5394,45,524.1,530.0,523.3
2026-05-05,6.0,1.15,528.0,31.28,5954,49,522.0,529.5,518.1
2026-05-04,-10.0,-1.88,522.0,31.73,6030,50,532.0,533.0,520.2
2026-04-30,0.0,0.0,532.0,24.89,4692,48,526.2,533.5,526.0
2026-04-29,0.6,0.11,532.0,24.12,4546,55,528.0,535.0,528.0
2026-04-28,-4.2,-0.78,531.4,72.58,13537,84,535.6,541.0,531.3
2026-04-27,0.5,0.09,535.6,55.62,10337,68,535.1,541.0,534.5
2026-04-24,-4.9,-0.91,535.1,32.87,6158,43,527.1,541.0,527.1
2026-04-23,-8.0,-1.46,540.0,36.34,6733,74,549.0,549.0,535.1
2026-04-22,8.0,1.48,548.0,77.5,14459,95,526.5,548.0,526.2
2026-04-21,-10.2,-1.85,540.0,,24466,163,550.2,553.0,538.2
2026-04-20,5.2,0.95,550.2,39.09,7119,77,561.3,561.3,545.0
2026-04-17,-1.1,-0.2,545.0,62.79,11502,77,550.0,555.0,540.0
2026-04-16,-7.5,-1.35,546.1,51.51,9400,106,550.7,554.0,544.0
2026-04-15,3.5,0.64,553.6,,20400,146,557.0,565.0,553.2
2026-04-13,7.0,1.29,550.1,,31413,118,540.2,554.0,540.2
2026-04-10,-5.9,-1.07,543.1,34.1,6286,67,545.5,550.0,540.0
2026-04-09,5.0,0.92,549.0,69.38,12622,112,544.0,554.7,538.2
2026-04-08,17.1,3.25,544.0,42.24,7873,81,537.0,544.0,527.5
2026-04-07,-2.6,-0.49,526.9,66.72,12583,92,537.0,540.0,526.0
2026-04-06,17.1,3.34,529.5,,26483,158,522.6,533.0,516.0
2026-04-05,-27.6,-5.11,512.4,,38526,261,535.1,535.1,512.0
2026-04-02,-3.1,-0.57,540.0,63.16,11630,117,539.0,550.3,538.0
2026-04-01,-12.0,-2.16,543.1,,22213,140,560.0,560.0,540.0
2026-03-31,4.1,0.74,555.1,,23676,157,560.0,560.0,541.0
2026-03-30,-11.1,-1.97,551.0,,43591,267,556.1,566.2,547.0
2026-03-29,-12.9,-2.24,562.1,,32094,231,580.0,580.0,562.0
2026-03-26,-2.3,-0.4,575.0,,21872,158,578.0,580.0,572.0
2026-03-25,-2.7,-0.47,577.3,,22452,125,580.0,584.0,576.2
2026-03-24,0.0,0.0,580.0,,72472,247,578.0,602.0,569.0
2026-03-23,0.2,0.03,580.0,,34670,190,585.0,588.0,573.0
2026-03-22,-4.8,-0.82,579.8,,84274,378,594.0,595.0,573.0
2026-03-19,1.6,0.27,584.6,,60802,367,594.0,594.0,580.0
2026-03-17,0.2,0.03,583.0,,33535,162,580.0,585.0,575.0
2026-03-16,8.0,1.39,582.8,,57333,262,571.2,589.9,570.0
2026-03-15,-1.2,-0.21,574.8,,43770,199,576.1,579.0,566.4
2026-03-12,0.0,0.0,576.0,,22191,121,576.0,582.5,572.0
2026-03-11,-13.0,-2.21,576.0,,32641,180,600.0,600.0,570.0
2026-03-10,-21.0,-3.44,589.0,,57199,314,622.0,622.0,573.0
2026-03-09,40.0,7.02,610.0,2.0,330,6,581.4,610.0,581.4
2026-03-03,19.0,3.45,570.0,,20436,93,545.3,570.0,545.0
2026-03-01,-1.0,-0.18,551.0,,21970,75,541.5,551.0,541.0
2026-02-26,4.0,0.73,552.0,31.64,5776,43,547.0,553.6,547.0
2026-02-25,5.0,0.92,548.0,21.87,4006,34,547.0,549.4,543.1
2026-02-24,4.5,0.84,543.0,45.2,8371,63,545.0,545.0,538.4
2026-02-23,-4.0,-0.74,538.5,25.31,4688,43,540.0,545.0,538.0
2026-02-22,-3.5,-0.64,542.5,55.55,10283,88,540.0,545.0,537.0
2026-02-17,-14.0,-2.5,546.0,96.66,17571,94,568.0,568.0,546.0
2026-02-16,3.0,0.54,560.0,42.04,7558,79,568.0,568.1,552.0
2026-02-12,1.0,0.18,557.0,,20103,117,561.0,564.1,553.2
2026-02-11,7.0,1.28,556.0,,27172,120,559.9,569.0,550.0
2026-02-10,-6.3,-1.13,549.0,90.21,16336,106,552.0,559.0,548.3
2026-02-09,-8.7,-1.54,555.3,,22220,99,558.0,570.0,552.0
2026-02-08,-11.0,-1.91,564.0,,19168,110,576.0,579.9,564.0
2026-02-05,21.8,3.94,575.0,,44968,191,552.0,575.0,550.0
2026-02-04,0.2,0.04,553.2,81.73,14733,121,547.0,574.0,547.0
2026-02-03,-9.9,-1.76,553.0,91.96,16550,117,574.0,574.0,552.1
2026-02-02,0.9,0.16,562.9,75.64,13518,86,573.2,573.2,555.6
2026-02-01,-8.0,-1.4,562.0,85.25,15115,92,566.2,573.0,560.0
2026-01-29,0.0,0.0,570.0,,31976,205,573.1,581.8,567.1
2026-01-28,7.0,1.24,570.0,,26820,170,564.0,579.0,560.5
2026-01-27,-12.0,-2.09,563.0,,37009,190,570.0,584.0,563.0
2026-01-26,-9.0,-1.54,575.0,,55256,279,578.2,586.0,570.0
2026-01-25,8.0,1.39,584.0,,55072,237,578.0,596.0,578.0
2026-01-22,8.0,1.41,576.0,,37676,173,563.8,576.0,563.7
2026-01-21,5.0,0.89,568.0,,54217,228,563.0,575.0,561.4
2026-01-20,10.5,1.9,563.0,,73776,320,563.5,571.0,552.0
2026-01-18,-4.5,-0.81,552.5,,24692,155,556.5,563.0,552.0
2026-01-14,-4.8,-0.85,557.0,,58051,177,569.0,569.0,550.6
2026-01-13,2.8,0.5,561.8,,27242,119,565.0,565.0,553.7
2026-01-12,-9.0,-1.58,559.0,,23352,118,576.0,578.8,552.0
2026-01-08,7.5,1.34,568.0,68.85,12167,63,551.1,580.0,551.1
2026-01-07,-9.5,-1.67,560.5,,19981,84,560.2,591.9,560.2
2026-01-06,-15.0,-2.56,570.0,,24339,110,593.9,620.0,569.0
2026-01-05,26.0,4.65,585.0,,66978,342,569.9,587.8,561.2
2026-01-04,39.95,7.7,559.0,,81861,383,529.0,565.0,529.0
2026-01-01,-3.0,-0.55,545.0,26.84,4920,72,558.9,558.9,540.5
2025-12-31,-5.0,-0.9,548.0,52.98,9579,66,564.0,564.0,548.0
2025-12-29,5.0,0.91,553.0,47.35,8550,56,557.7,557.7,541.4
2025-12-28,7.0,1.29,548.0,,21641,87,542.0,552.0,541.0
2025-12-24,1.1,0.2,541.0,,34687,101,529.2,546.3,529.2
2025-12-23,2.9,0.54,539.9,,34715,73,532.0,547.0,530.4
2025-12-22,-7.5,-1.38,537.0,,53240,113,540.1,545.0,534.0
2025-12-21,-10.5,-1.89,544.5,,31848,68,554.7,559.9,542.0
2025-12-18,-4.0,-0.72,555.0,41.43,7444,40,548.1,560.9,548.1
2025-12-17,10.0,1.82,559.0,,18429,92,543.1,560.0,543.1
2025-12-16,-7.0,-1.26,549.0,73.99,13406,70,556.0,556.0,546.1
2025-12-15,-9.9,-1.75,556.0,48.32,8701,81,565.8,567.0,550.0
2025-12-14,2.9,0.52,565.9,,27580,54,555.0,575.0,555.0
2025-12-11,-7.0,-1.23,563.0,30.44,5407,50,562.0,572.0,562.0
2025-12-10,6.0,1.06,570.0,75.93,13276,67,561.0,575.2,561.0
2025-12-09,1.5,0.27,564.0,41.65,7386,47,562.1,566.0,562.0
2025-12-08,-7.4,-1.3,562.5,26.52,4670,39,579.6,579.8,561.0
2025-12-07,-2.1,-0.37,569.9,,17667,59,570.0,592.0,561.3
2025-12-03,-5.0,-0.87,572.0,43.89,7708,45,577.0,583.8,566.2
2025-12-02,11.7,2.07,577.0,51.48,9015,58,570.0,579.0,562.5
2025-12-01,-0.4,-0.07,565.3,73.98,12868,51,570.0,590.0,560.0
2025-11-30,-17.8,-3.05,565.7,81.9,14299,94,581.0,584.9,565.7
2025-11-27,13.5,2.37,583.5,,35910,110,570.0,586.0,570.0
2025-11-26,2.0,0.35,570.0,51.65,9095,51,560.0,572.0,560.0
2025-11-25,3.0,0.53,568.0,60.4,10732,57,565.0,568.0,559.0
2025-11-24,6.0,1.07,565.0,62.41,11128,69,562.0,569.9,555.0
2025-11-23,8.9,1.62,559.0,55.72,9961,80,561.0,565.0,550.1
2025-11-20,-1.9,-0.34,550.1,40.64,7390,51,557.0,559.0,545.9
2025-11-19,0.5,0.09,552.0,8.79,1599,29,541.0,559.0,541.0
2025-11-18,1.6,0.29,551.5,55.83,10083,66,550.0,560.0,549.0
2025-11-17,4.9,0.9,549.9,34.97,6388,35,543.0,551.0,542.0
2025-11-16,9.0,1.68,545.0,13.8,2544,42,526.0,547.0,526.0
2025-11-13,-7.3,-1.34,536.0,55.34,10252,75,536.0,552.9,535.8
2025-11-12,-7.7,-1.4,543.3,14.29,2624,26,546.0,547.1,543.2
2025-11-11,5.9,1.08,551.0,17.23,3120,25,546.4,555.0,546.4
2025-11-10,-7.4,-1.34,545.1,26.72,4886,43,543.1,558.9,543.1
2025-11-09,-0.5,-0.09,552.5,5.93,1080,29,546.4,560.0,546.4
2025-11-06,-15.0,-2.64,553.0,37.09,6681,53,557.0,565.0,553.0
2025-11-05,8.0,1.43,568.0,56.16,10095,43,560.9,568.0,550.0
2025-11-04,-11.0,-1.93,560.0,35.16,6251,44,578.0,579.9,551.0
2025-11-03,-3.5,-0.61,571.0,73.68,12883,56,572.3,579.0,567.0
