DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-1.8,-0.38,473.0,50.16,10632,60,479.0,479.0,466.0
2026-05-07,4.8,1.02,474.8,57.19,12131,64,475.0,475.0,467.0
2026-05-06,4.9,1.05,470.0,85.16,18178,91,468.0,473.0,465.2
2026-05-05,-2.0,-0.43,465.1,71.4,15290,100,444.0,479.0,444.0
2026-05-04,-7.0,-1.48,467.1,,38704,111,475.2,480.0,467.1
2026-04-30,-1.3,-0.27,474.1,,29729,114,471.0,478.8,468.0
2026-04-29,-12.5,-2.56,475.4,,46481,150,480.2,487.0,475.0
2026-04-28,-3.1,-0.63,487.9,,38437,121,467.0,505.7,467.0
2026-04-27,4.0,0.82,491.0,,24646,143,487.0,498.0,487.0
2026-04-24,-9.4,-1.89,487.0,,55999,196,490.0,495.0,486.1
2026-04-23,-5.5,-1.1,496.4,,34456,135,493.4,503.9,490.1
2026-04-22,3.9,0.78,501.9,,43013,223,473.1,508.9,473.1
2026-04-21,-17.0,-3.3,498.0,,52686,232,520.0,520.0,498.0
2026-04-20,4.1,0.8,515.0,,96782,413,486.0,546.0,486.0
2026-04-17,0.1,0.02,510.9,,45863,174,503.0,516.0,503.0
2026-04-16,-5.4,-1.05,510.8,,45118,191,506.0,520.0,506.0
2026-04-15,-4.8,-0.92,516.2,,136673,388,525.0,525.0,514.5
2026-04-13,-4.0,-0.76,521.0,,77259,242,530.0,530.0,512.0
2026-04-10,3.0,0.57,525.0,,149858,446,532.2,532.2,513.09
2026-04-09,1.3,0.25,522.0,,104842,415,511.0,530.0,511.0
2026-04-08,-0.3,-0.06,520.7,,60966,310,524.5,525.0,515.0
2026-04-07,-5.0,-0.95,521.0,,76262,361,536.5,536.5,517.4
2026-04-06,13.0,2.53,526.0,,116287,394,509.0,526.0,506.1
2026-04-05,1.0,0.2,513.0,,273308,680,501.8,513.0,494.0
2026-04-02,2.0,0.39,512.0,,95735,357,510.0,520.0,502.6
2026-04-01,-28.9,-5.36,510.0,,177877,519,528.2,538.0,503.0
2026-03-31,0.1,0.02,538.9,,134916,469,547.5,547.5,521.0
2026-03-30,0.8,0.15,538.8,,193414,523,540.0,544.0,530.0
2026-03-29,-22.0,-3.93,538.0,,231388,669,550.0,567.7,533.2
2026-03-26,3.1,0.56,560.0,,410553,1220,550.0,571.0,549.0
2026-03-25,13.9,2.56,556.9,,515499,1180,533.9,556.9,533.9
2026-03-24,5.0,0.93,543.0,,245281,767,528.1,549.9,528.1
2026-03-23,18.1,3.48,538.0,,568352,1199,518.9,538.0,512.0
2026-03-22,1.9,0.37,519.9,,480347,1026,518.0,524.6,510.1
2026-03-19,18.0,3.6,518.0,,345245,916,510.0,519.5,499.0
2026-03-17,1.3,0.26,500.0,,166293,381,508.6,508.6,494.0
2026-03-16,7.7,1.57,498.7,,191244,527,496.0,502.8,485.1
2026-03-15,0.2,0.04,491.0,,81896,424,491.0,495.8,489.0
2026-03-12,-1.0,-0.2,490.8,,172113,533,488.0,495.0,488.0
2026-03-11,-5.2,-1.05,491.8,,177391,547,495.3,499.9,490.0
2026-03-10,-28.0,-5.33,497.0,,404926,960,525.0,525.0,495.1
2026-03-09,29.0,5.85,525.0,52.69,10332,33,505.0,536.0,505.0
2026-03-03,0.8,0.16,496.0,,122438,248,490.1,500.5,490.1
2026-03-01,-0.8,-0.16,495.2,,106944,256,486.2,499.9,486.2
2026-02-26,-1.0,-0.2,496.0,,132780,370,490.0,505.9,490.0
2026-02-25,14.0,2.9,497.0,,126698,360,485.0,500.0,481.0
2026-02-24,3.0,0.62,483.0,,66358,203,482.0,485.3,476.0
2026-02-23,6.0,1.27,480.0,,68540,274,472.0,483.4,472.0
2026-02-22,-8.9,-1.84,474.0,,168835,500,476.0,482.9,474.0
2026-02-17,-12.1,-2.44,482.9,,219684,600,499.9,499.9,477.0
2026-02-16,-15.0,-2.94,495.0,,168500,534,511.0,518.0,492.2
2026-02-12,1.0,0.2,510.0,,348321,649,500.0,510.4,500.0
2026-02-11,11.3,2.27,509.0,,516821,1136,498.0,540.0,496.1
2026-02-10,8.7,1.78,497.7,,649371,1454,485.0,530.0,485.0
2026-02-09,-17.0,-3.36,489.0,,242267,847,516.1,516.1,487.3
2026-02-08,-25.0,-4.71,506.0,,285678,1144,530.0,530.0,502.0
2026-02-05,34.0,6.84,531.0,,1146555,2323,506.9,545.0,491.0
2026-02-04,-1.0,-0.2,497.0,,199215,739,488.1,513.0,488.1
2026-02-03,-16.9,-3.28,498.0,,628491,1638,525.1,531.0,495.0
2026-02-02,6.9,1.36,514.9,,443962,1291,518.1,523.0,500.0
2026-02-01,18.0,3.67,508.0,,728599,1899,499.8,515.0,499.8
2026-01-29,25.0,5.38,490.0,,918125,2095,470.0,502.0,465.2
2026-01-28,1.0,0.22,465.0,,106220,407,464.0,468.0,461.9
2026-01-27,-5.2,-1.11,464.0,,326992,1000,472.1,482.0,464.0
2026-01-26,9.1,1.98,469.2,,296037,711,450.9,476.0,450.9
2026-01-25,-1.5,-0.32,460.1,,214416,662,470.8,470.8,455.8
2026-01-22,-4.3,-0.92,461.6,,167897,506,475.0,475.0,459.0
2026-01-21,-6.1,-1.29,465.9,,154034,539,478.0,478.0,462.0
2026-01-20,0.5,0.11,472.0,,425319,931,473.2,487.3,469.3
2026-01-18,-3.5,-0.74,471.5,,144325,450,471.0,483.0,470.2
2026-01-14,15.0,3.26,475.0,,486429,1219,460.0,489.0,460.0
2026-01-13,-1.0,-0.22,460.0,,165223,399,452.0,469.0,452.0
2026-01-12,-6.0,-1.28,461.0,,133790,346,470.0,474.0,460.1
2026-01-08,6.0,1.3,467.0,,100577,238,470.2,470.2,455.7
2026-01-07,-4.0,-0.86,461.0,,88976,366,464.0,472.0,457.2
2026-01-06,-5.0,-1.06,465.0,,201925,490,471.0,482.0,462.0
2026-01-05,1.4,0.3,470.0,,202707,574,462.3,474.0,458.0
2026-01-04,-7.1,-1.49,468.6,,214642,546,485.2,485.2,464.1
2026-01-01,-6.2,-1.29,475.7,,114424,247,472.3,489.6,472.3
2025-12-31,-2.0,-0.41,481.9,,215733,445,493.5,493.5,478.1
2025-12-29,-6.1,-1.24,483.9,,65519,191,499.8,499.8,483.0
2025-12-28,8.5,1.77,490.0,,554921,985,471.9,515.0,471.9
2025-12-24,-7.5,-1.53,481.5,,61734,208,496.8,496.8,481.1
2025-12-23,-1.0,-0.2,489.0,,61899,216,499.8,499.8,485.0
2025-12-22,2.9,0.6,490.0,,90025,230,486.0,493.6,484.2
2025-12-21,-7.9,-1.6,487.1,,96413,267,488.2,498.7,485.3
2025-12-18,-9.9,-1.96,495.0,,144514,438,514.9,514.9,492.0
2025-12-17,17.0,3.48,504.9,,454794,922,489.0,511.0,478.3
2025-12-16,12.9,2.72,487.9,,64991,236,466.0,487.9,466.0
2025-12-15,-3.0,-0.63,475.0,,76002,211,475.3,485.0,472.3
2025-12-14,-4.1,-0.85,478.0,,61091,191,487.0,490.0,476.1
2025-12-11,-1.9,-0.39,482.1,,61756,177,481.1,489.7,481.0
2025-12-10,-5.0,-1.02,484.0,,66114,204,498.7,498.7,482.5
2025-12-09,-2.0,-0.41,489.0,,113009,233,495.9,499.0,487.0
2025-12-08,4.7,0.97,491.0,,130446,312,492.0,498.0,485.0
2025-12-07,-5.5,-1.12,486.3,,127388,347,490.1,491.0,485.3
2025-12-03,-5.0,-1.01,491.8,,94431,272,506.7,506.7,490.0
2025-12-02,0.7,0.14,496.8,,634319,975,497.1,530.0,490.0
2025-12-01,-3.9,-0.78,496.1,,104026,279,504.9,504.9,496.1
2025-11-30,-4.6,-0.91,500.0,,96519,289,504.0,509.0,500.0
2025-11-27,-2.4,-0.47,504.6,,173118,387,497.0,513.8,497.0
2025-11-26,-4.8,-0.94,507.0,,106356,256,502.0,520.0,502.0
2025-11-25,2.9,0.57,511.8,,364809,515,519.0,524.2,504.0
2025-11-24,-0.1,-0.02,508.9,,148941,368,512.7,516.0,506.0
2025-11-23,5.5,1.09,509.0,,131244,395,505.0,516.0,505.0
2025-11-20,-11.4,-2.21,503.5,,239411,553,513.0,515.0,500.0
2025-11-19,-10.1,-1.92,514.9,,214479,554,529.59,529.59,510.0
2025-11-18,-7.0,-1.32,525.0,,155398,380,540.0,540.0,522.0
2025-11-17,7.1,1.35,532.0,,250901,381,518.1,532.0,518.1
2025-11-16,-0.1,-0.02,524.9,,318414,463,535.5,535.5,519.0
2025-11-13,4.1,0.79,525.0,,255692,421,521.9,525.0,517.6
2025-11-12,-1.5,-0.29,520.9,,260308,545,518.0,526.0,517.0
2025-11-11,-2.0,-0.38,522.4,,88797,316,529.0,530.0,521.2
2025-11-10,-0.6,-0.11,524.4,,493543,720,525.1,529.8,515.1
2025-11-09,-16.5,-3.05,525.0,,520278,797,540.0,545.0,521.4
2025-11-06,2.6,0.48,541.5,,362216,652,529.0,544.0,529.0
2025-11-05,8.5,1.6,538.9,,710259,1531,530.0,554.7,529.1
2025-11-04,-3.6,-0.67,530.4,,355017,631,523.4,540.0,521.0
2025-11-03,5.0,0.95,534.0,,439125,1143,539.5,546.6,529.0
2025-11-02,16.0,3.12,529.0,,646245,1377,510.0,549.0,510.0
2025-10-30,-5.5,-1.06,513.0,,362817,831,528.8,528.8,512.1
2025-10-29,3.5,0.68,518.5,,452418,1192,515.0,529.0,515.0
2025-10-28,23.0,4.67,515.0,,460327,847,492.0,524.0,485.3
2025-10-26,-6.0,-1.2,492.0,,375811,774,505.0,507.5,486.5
2025-10-19,26.0,5.51,498.0,,344698,782,476.0,501.0,470.2
2025-10-16,-1.0,-0.21,472.0,,195805,465,482.4,482.4,470.0
2025-10-15,4.0,0.85,473.0,,273322,632,476.9,483.0,466.6
2025-10-14,-18.0,-3.7,469.0,,211447,597,496.7,496.7,468.0
2025-10-13,9.0,1.88,487.0,,325888,782,480.0,492.0,468.6
2025-10-12,-38.0,-7.36,478.0,,726673,1541,520.0,523.0,475.0
2025-10-09,16.0,3.2,516.0,,528220,1058,510.0,529.9,502.0
2025-10-08,-8.0,-1.57,500.0,,483048,1195,515.0,517.0,497.0
2025-10-07,12.0,2.42,508.0,,554698,1408,495.0,525.3,490.0
2025-09-28,25.1,5.33,496.0,,490483,1296,475.0,505.0,473.0
2025-09-25,-3.4,-0.72,470.9,,389469,867,474.3,484.0,464.0
2025-09-24,7.3,1.56,474.3,,463922,1132,470.0,485.8,465.0
2025-09-23,15.17,3.36,467.0,,334625,976,459.0,475.0,453.0
2025-09-21,26.83,6.31,451.83,,426566,980,425.0,454.9,425.0
2025-09-18,-38.92,-8.39,425.0,,75284,201,454.7,454.7,421.4
2025-09-08,13.87,3.08,463.92,,527763,1696,450.0,466.0,446.2
2025-09-07,16.94,3.91,450.05,,671017,1973,435.0,454.0,427.0
2025-09-04,2.44,0.57,433.11,,407675,1640,432.6,440.0,423.5
2025-09-03,28.27,7.03,430.67,,799834,2710,406.0,432.4,405.5
2025-09-02,13.99,3.6,402.4,,366391,1095,388.8,407.0,388.8
