DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.0,0.34,1460.0,5.27,363,13,1420.0,1462.0,1420.0
2026-05-07,12.0,0.83,1455.0,2.26,157,13,1401.0,1469.9,1401.0
2026-05-06,15.0,1.05,1443.0,7.73,549,13,1430.0,1443.0,1401.0
2026-05-05,6.6,0.46,1428.0,36.25,2483,49,1380.0,1483.0,1380.0
2026-05-04,-10.5,-0.73,1421.4,41.73,2952,53,1400.0,1500.0,1371.0
2026-04-30,-3.1,-0.22,1431.9,18.22,1298,46,1392.0,1433.0,1392.0
2026-04-29,-20.5,-1.41,1435.0,15.48,1077,29,1422.0,1469.0,1422.0
2026-04-28,-19.5,-1.32,1455.5,16.14,1079,22,1475.0,1519.2,1440.0
2026-04-27,-4.0,-0.27,1475.0,3.5,237,15,1479.0,1519.9,1474.4
2026-04-24,-8.0,-0.54,1479.0,11.42,775,22,1450.0,1494.9,1450.0
2026-04-23,8.2,0.55,1487.0,52.04,3564,68,1436.1,1523.1,1407.0
2026-04-22,-16.2,-1.08,1478.8,32.82,2265,63,1460.0,1479.9,1435.0
2026-04-21,5.0,0.34,1495.0,21.54,1441,46,1490.0,1512.0,1470.1
2026-04-20,-26.0,-1.72,1490.0,29.71,2001,59,1550.0,1550.0,1466.0
2026-04-17,-24.0,-1.56,1516.0,67.53,4480,88,1540.0,1540.0,1499.0
2026-04-16,3.0,0.2,1540.0,27.65,1771,83,1560.0,1590.0,1530.0
2026-04-15,-15.0,-0.97,1537.0,57.16,3710,128,1580.0,1583.0,1521.0
2026-04-13,-58.0,-3.6,1552.0,56.01,3574,106,1578.0,1585.0,1550.0
2026-04-10,-26.9,-1.64,1610.0,36.66,2266,50,1630.0,1650.0,1605.0
2026-04-09,3.9,0.24,1636.9,28.61,1761,56,1633.0,1650.0,1610.0
2026-04-08,33.0,2.06,1633.0,34.42,2110,46,1575.0,1662.6,1569.0
2026-04-07,2.0,0.13,1600.0,27.56,1722,56,1580.0,1730.0,1576.0
2026-04-06,28.0,1.78,1598.0,19.32,1214,55,1540.0,1609.9,1540.0
2026-04-05,-95.0,-5.71,1570.0,63.05,3944,105,1632.0,1667.9,1569.0
2026-04-02,-29.0,-1.71,1665.0,64.48,3865,106,1690.0,1690.0,1650.0
2026-04-01,-51.0,-2.92,1694.0,67.74,3981,104,1775.0,1775.0,1671.2
2026-03-31,65.0,3.87,1745.0,74.95,4370,110,1679.9,1749.0,1679.9
2026-03-30,-131.0,-7.23,1680.0,,13899,379,1774.8,1790.0,1640.0
2026-03-29,-119.0,-6.17,1811.0,,23153,435,1895.0,1895.0,1806.0
2026-03-26,5.0,0.26,1930.0,22.51,1166,29,1925.0,1952.9,1895.0
