DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-400.0,-0.85,46400.0,23.73,51,6,46800.0,46900.0,46400.0
2026-05-07,350.0,0.75,46800.0,9.33,20,2,46550.0,46800.0,46550.0
2026-05-05,450.0,0.98,46450.0,32.42,70,5,46001.0,46450.1,46001.0
2026-05-04,-1000.0,-2.13,46000.0,32.71,70,4,46800.0,46900.0,46000.0
2026-04-30,0.0,0.0,47000.0,,1,1,47000.0,47000.0,47000.0
2026-04-29,-50.0,-0.11,47000.0,23.5,50,3,47020.0,47020.0,46999.0
2026-04-28,160.0,0.34,47050.0,21.18,45,6,46890.0,47050.0,46890.0
2026-04-27,670.0,1.45,46890.0,13.6,29,3,46220.0,46890.0,46220.0
2026-04-23,-280.0,-0.6,46220.0,13.88,30,3,46300.0,46300.0,46220.0
2026-04-22,-700.0,-1.48,46500.0,11.63,25,3,47000.0,47000.0,46500.0
2026-04-21,-100.0,-0.21,47200.0,7.05,15,6,47300.0,47300.0,47200.0
2026-04-17,100.0,0.21,47300.0,28.37,60,2,47250.0,47300.0,47250.0
2026-04-16,250.0,0.53,47200.0,14.12,30,3,47000.0,47200.0,47000.0
2026-04-15,250.0,0.54,46950.0,9.36,20,2,46700.0,46950.0,46700.0
2026-04-13,-400.0,-0.85,46700.0,32.7,70,7,46900.0,46900.0,46600.0
2026-04-10,1.0,0.0,47100.0,14.12,30,2,47099.0,47100.0,47099.0
2026-04-09,-1.0,0.0,47099.0,32.9,70,5,47000.0,47099.0,47000.0
2026-04-08,100.0,0.21,47100.0,35.27,75,7,47050.1,47100.0,47000.0
2026-04-07,-200.0,-0.42,47000.0,9.87,21,3,47200.0,47200.0,47000.0
2026-04-06,800.0,1.72,47200.0,14.14,30,3,47000.0,47220.0,47000.0
2026-04-05,-300.0,-0.64,46400.0,35.84,77,8,46200.0,47000.0,46200.0
2026-04-02,0.0,0.0,46700.0,24.82,53,8,46695.0,47400.0,46695.0
2026-04-01,-80.0,-0.17,46700.0,9.34,20,2,46780.0,46780.0,46700.0
2026-03-31,279.0,0.6,46780.0,9.32,20,2,46502.0,46780.0,46502.0
2026-03-30,0.0,0.0,46501.0,23.26,50,4,46500.0,46550.0,46500.0
2026-03-29,-449.0,-0.96,46501.0,33.09,71,8,46950.0,46950.0,46200.0
2026-03-26,460.0,0.99,46950.0,14.97,32,4,46490.1,46950.0,46490.1
2026-03-25,179.0,0.39,46490.0,14.96,32,4,46998.0,46999.0,46490.0
