DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.6,1.26,370.1,,40198,160,383.0,383.0,366.0
2026-05-07,-3.5,-0.95,365.5,88.62,24216,127,369.0,370.0,362.0
2026-05-06,0.4,0.11,369.0,,54352,187,366.9,369.5,365.0
2026-05-05,0.6,0.16,368.6,,35351,158,368.0,375.0,360.3
2026-05-04,-6.0,-1.6,368.0,,34079,224,374.0,375.0,363.0
2026-04-30,2.0,0.54,374.0,,59161,274,369.0,374.0,365.2
2026-04-29,-6.5,-1.72,372.0,,59933,221,376.0,377.0,370.5
2026-04-28,0.3,0.08,378.5,,57745,240,378.2,384.0,374.0
2026-04-27,0.2,0.05,378.2,,60071,243,378.0,384.0,375.0
2026-04-24,-4.0,-1.05,378.0,,49753,219,401.1,401.1,367.0
2026-04-23,-3.0,-0.78,382.0,,65894,284,397.7,397.7,373.0
2026-04-22,6.0,1.58,385.0,,98944,381,375.5,385.0,370.5
2026-04-21,-6.0,-1.56,379.0,,68543,294,404.2,404.2,379.0
2026-04-20,-2.0,-0.52,385.0,,69594,251,406.3,406.3,383.5
2026-04-17,1.0,0.26,387.0,,104784,335,387.2,390.0,380.1
2026-04-16,-7.0,-1.78,386.0,,94683,374,393.0,395.0,385.2
2026-04-15,1.0,0.26,393.0,,185778,553,395.0,401.0,390.0
2026-04-13,7.0,1.82,392.0,,129904,503,385.0,395.0,385.0
2026-04-10,-8.0,-2.04,385.0,,124880,527,395.0,395.0,383.8
2026-04-09,4.0,1.03,393.0,,155398,567,396.7,396.7,382.2
2026-04-08,8.0,2.1,389.0,,110981,500,373.4,389.9,373.4
2026-04-07,-2.0,-0.52,381.0,,111183,486,375.4,391.8,375.4
2026-04-06,17.0,4.64,383.0,,223577,785,368.0,387.6,368.0
2026-04-05,-18.0,-4.69,366.0,,301805,839,381.0,381.0,363.3
2026-04-02,-3.0,-0.78,384.0,,167214,767,380.1,392.9,376.1
2026-04-01,-16.0,-3.97,387.0,,251590,1171,400.0,401.0,383.2
2026-03-31,1.0,0.25,403.0,,263983,648,394.0,408.9,394.0
2026-03-30,-6.5,-1.59,402.0,,279991,769,416.1,416.1,397.0
2026-03-29,-8.5,-2.04,408.5,,317033,946,417.0,420.0,406.0
2026-03-26,7.0,1.71,417.0,,274031,725,401.8,418.0,401.8
2026-03-25,-4.0,-0.97,410.0,,393992,708,405.8,422.2,405.8
2026-03-24,5.0,1.22,414.0,,333874,679,405.0,419.4,405.0
2026-03-23,0.4,0.1,409.0,,257575,728,409.0,413.0,403.5
2026-03-22,-8.4,-2.01,408.6,,343387,1051,409.0,423.0,406.0
2026-03-19,1.8,0.43,417.0,,459472,1135,421.9,424.9,413.0
2026-03-17,4.1,1.0,415.2,,406464,1108,414.0,418.0,405.2
2026-03-16,-10.9,-2.58,411.1,,466142,1301,430.4,430.4,411.1
2026-03-15,19.0,4.71,422.0,,785267,1957,409.0,422.0,404.0
2026-03-12,6.9,1.74,403.0,,480620,1112,395.0,408.8,394.0
2026-03-11,-2.9,-0.73,396.1,,284611,823,400.0,406.0,392.0
2026-03-10,-15.8,-3.81,399.0,,451461,1304,414.8,414.8,390.0
2026-03-09,36.3,9.59,414.8,21.54,5257,31,386.0,416.0,386.0
2026-03-03,10.6,2.88,378.5,,111888,322,360.7,380.3,360.7
