DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.9,1.43,205.4,,126149,505,193.0,206.9,193.0
2026-05-07,-0.4,-0.2,202.5,,89557,400,203.0,204.8,200.0
2026-05-06,0.9,0.45,202.9,,88623,504,202.0,204.9,200.0
2026-05-05,0.6,0.3,202.0,,132582,727,202.0,204.9,199.1
2026-05-04,-2.4,-1.18,201.4,,133836,743,203.8,207.0,200.5
2026-04-30,0.4,0.2,203.8,,241756,927,205.0,206.0,200.0
2026-04-29,-2.2,-1.07,203.4,,181063,806,208.0,208.0,203.0
2026-04-28,-1.6,-0.77,205.6,,155644,768,211.0,211.0,205.0
2026-04-27,-0.3,-0.14,207.2,,170051,674,217.8,217.8,207.0
2026-04-24,-1.0,-0.48,207.5,,163426,709,208.5,211.8,205.0
2026-04-23,1.5,0.72,208.5,,135500,753,210.0,212.9,206.0
2026-04-22,-3.0,-1.43,207.0,,408969,1533,210.0,215.0,204.0
2026-04-21,-4.6,-2.14,210.0,,257415,1140,215.0,215.0,208.1
2026-04-20,-2.4,-1.11,214.6,,249935,899,217.0,218.0,212.0
2026-04-17,0.1,0.05,217.0,,247624,1052,216.9,219.0,213.1
2026-04-16,-7.6,-3.39,216.9,,375273,1437,224.5,225.0,216.1
2026-04-15,7.5,3.46,224.5,,771030,2567,221.0,227.0,217.0
2026-04-13,4.0,1.88,217.0,,362753,1369,213.0,217.2,209.5
2026-04-10,-3.5,-1.62,213.0,,314264,1255,217.9,217.9,212.2
2026-04-09,2.5,1.17,216.5,,302238,1102,218.2,218.2,214.0
2026-04-08,2.5,1.18,214.0,,250714,1000,215.7,216.7,213.0
2026-04-07,-1.5,-0.7,211.5,,328607,1460,217.2,220.0,210.1
2026-04-06,14.4,7.25,213.0,,550177,2471,194.7,215.9,194.7
2026-04-05,-9.4,-4.52,198.6,,528921,2431,208.0,209.0,198.0
2026-04-02,-0.1,-0.05,208.0,,563584,2250,207.5,213.5,199.0
2026-04-01,-10.4,-4.76,208.1,,594242,2185,219.0,221.0,206.5
2026-03-31,2.5,1.16,218.5,,659335,2311,220.3,220.3,210.0
2026-03-30,-7.0,-3.14,216.0,,698666,2632,227.4,227.4,215.0
2026-03-29,-10.9,-4.66,223.0,,924493,3382,234.0,237.0,220.1
2026-03-26,3.9,1.7,233.9,,481909,1963,230.0,234.0,226.0
2026-03-25,-6.9,-2.91,230.0,,664956,2342,237.0,238.0,229.0
