DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.0,0.16,640.0,17.8,2836,38,620.2,649.0,620.0
2026-05-07,-8.0,-1.24,639.0,8.97,1430,32,660.0,660.0,613.2
2026-05-06,-3.0,-0.46,647.0,7.62,1187,41,630.5,669.0,630.5
2026-05-05,20.0,3.17,650.0,7.06,1119,40,598.5,692.0,598.5
2026-05-04,-15.0,-2.33,630.0,11.38,1812,22,626.0,635.0,625.0
2026-04-30,-4.0,-0.62,645.0,12.55,1999,34,631.0,660.0,616.0
2026-04-29,-1.0,-0.15,649.0,11.65,1835,42,633.0,649.0,630.0
2026-04-28,-6.0,-0.91,650.0,10.07,1571,43,656.0,655.0,630.5
2026-04-27,-4.0,-0.61,656.0,17.34,2649,40,660.0,676.5,651.0
2026-04-24,-8.0,-1.2,660.0,14.28,2208,51,673.9,673.9,640.0
2026-04-23,-7.0,-1.04,668.0,41.46,6295,54,656.0,675.0,654.8
2026-04-22,-5.0,-0.74,675.0,39.42,5865,62,680.0,685.0,651.0
2026-04-21,-10.0,-1.45,680.0,16.37,2414,33,674.1,690.0,669.3
2026-04-20,2.0,0.29,690.0,13.85,2018,45,722.4,722.4,630.9
2026-04-17,-7.0,-1.01,688.0,9.67,1413,26,681.1,694.7,681.1
2026-04-16,-4.0,-0.57,695.0,14.55,2122,28,691.0,707.9,682.0
2026-04-15,1.0,0.14,699.0,13.88,2001,45,706.0,706.0,690.0
2026-04-13,-2.0,-0.29,698.0,6.93,997,26,710.0,711.0,690.0
2026-04-10,-13.0,-1.82,700.0,33.28,4809,65,698.8,717.0,684.9
2026-04-09,18.1,2.6,713.0,28.61,4055,58,682.0,750.0,682.0
2026-04-08,13.9,2.04,694.9,13.19,1914,31,668.0,704.0,668.0
2026-04-07,-8.5,-1.23,681.0,10.55,1521,19,703.2,710.0,680.1
2026-04-06,32.5,4.95,689.5,35.19,5162,67,670.0,693.8,660.2
2026-04-05,-40.0,-5.74,657.0,31.61,4703,72,685.0,697.0,657.0
2026-04-02,-6.9,-0.98,697.0,27.84,4017,48,713.0,713.0,690.0
2026-04-01,-15.1,-2.1,703.9,39.25,5618,59,705.0,722.0,693.9
2026-03-31,7.0,0.98,719.0,22.96,3271,70,700.0,723.0,696.0
2026-03-30,-2.0,-0.28,712.0,42.23,5983,92,700.0,771.0,696.1
2026-03-29,-23.0,-3.12,714.0,93.06,13046,116,737.0,742.5,708.0
2026-03-26,8.1,1.11,737.0,42.07,5737,63,715.2,739.9,715.1
2026-03-25,3.9,0.54,728.9,40.36,5628,85,710.5,730.0,710.5
2026-03-24,-9.8,-1.33,725.0,58.3,8042,66,734.9,734.9,723.0
2026-03-23,2.8,0.38,734.8,53.87,7393,79,733.0,743.9,726.0
2026-03-22,0.0,0.0,732.0,73.66,10127,108,735.0,740.0,717.4
2026-03-19,7.0,0.97,732.0,73.92,10201,112,711.1,738.6,710.0
2026-03-17,-4.9,-0.67,725.0,76.64,10688,115,744.4,744.4,708.0
2026-03-16,-12.4,-1.67,729.9,53.59,7360,106,728.2,754.7,720.0
2026-03-15,-11.6,-1.54,742.3,65.32,8889,92,753.9,759.9,725.0
2026-03-12,-5.9,-0.78,753.9,39.43,5271,74,744.7,765.0,736.0
