DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-4.4,-0.35,1257.6,6.93,551,17,1269.6,1269.7,1255.0
2026-05-07,10.0,0.8,1262.0,10.18,819,25,1240.0,1267.0,1238.0
2026-05-06,4.0,0.32,1252.0,31.83,2547,68,1248.0,1259.0,1240.0
2026-05-05,-22.1,-1.74,1248.0,29.79,2361,72,1270.0,1280.0,1246.0
2026-05-04,-23.9,-1.85,1270.1,28.0,2188,62,1295.0,1295.0,1270.1
2026-04-30,-4.0,-0.31,1294.0,23.72,1846,42,1298.0,1300.0,1280.0
2026-04-29,-26.0,-1.96,1298.0,28.79,2211,66,1319.0,1319.0,1298.0
2026-04-28,-16.0,-1.19,1324.0,10.15,766,30,1340.0,1341.1,1318.0
2026-04-27,10.0,0.75,1340.0,9.34,699,30,1330.0,1350.0,1330.0
2026-04-24,-5.0,-0.37,1330.0,38.31,2879,58,1316.0,1360.0,1300.1
2026-04-23,-14.0,-1.04,1335.0,36.26,2722,61,1350.0,1350.0,1325.0
2026-04-22,-6.0,-0.44,1349.0,38.43,2883,59,1321.0,1350.0,1315.0
2026-04-21,-4.0,-0.29,1355.0,14.71,1082,32,1381.0,1381.0,1355.0
2026-04-20,8.4,0.62,1359.0,17.12,1255,27,1350.6,1390.0,1350.6
2026-04-17,-7.4,-0.54,1350.6,19.2,1423,37,1352.0,1364.9,1337.0
2026-04-16,-23.0,-1.67,1358.0,27.01,1978,56,1370.0,1375.0,1357.0
2026-04-15,-6.7,-0.48,1381.0,32.02,2328,51,1365.1,1389.9,1365.0
2026-04-13,0.7,0.05,1387.7,43.58,3182,64,1387.0,1400.0,1355.0
2026-04-10,-23.0,-1.63,1387.0,72.8,5266,93,1400.0,1410.0,1370.0
2026-04-09,47.0,3.45,1410.0,36.24,2588,55,1364.0,1428.0,1364.0
2026-04-08,2.7,0.2,1363.0,41.22,3020,61,1334.0,1380.1,1334.0
2026-04-07,-16.7,-1.21,1360.3,35.1,2568,59,1380.0,1385.0,1360.0
2026-04-06,47.0,3.53,1377.0,60.61,4451,91,1356.0,1383.1,1345.0
2026-04-05,-90.0,-6.34,1330.0,,8188,179,1392.0,1400.0,1322.0
