DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.1,0.45,696.1,23.48,3381,118,680.0,700.4,680.0
2026-05-07,1.8,0.26,693.0,16.9,2441,116,686.0,695.0,686.0
2026-05-06,-11.8,-1.68,691.2,19.9,2859,111,690.2,706.0,690.2
2026-05-05,1.0,0.14,703.0,19.52,2787,135,695.0,709.9,695.0
2026-05-04,5.9,0.85,702.0,27.52,3954,206,691.0,705.0,690.0
2026-04-30,-8.9,-1.26,696.1,28.9,4153,175,672.0,706.0,672.0
2026-04-29,-19.9,-2.75,705.0,72.32,10153,298,720.1,724.1,703.0
2026-04-28,-11.1,-1.51,724.9,63.3,8709,344,736.0,740.0,720.5
2026-04-27,1.0,0.14,736.0,77.86,10537,277,735.0,750.0,734.0
2026-04-24,-5.0,-0.68,735.0,27.78,3783,166,740.0,740.0,727.1
2026-04-23,-10.0,-1.33,740.0,55.5,7476,272,732.4,748.0,732.4
2026-04-22,-15.0,-1.96,750.0,42.65,5703,279,755.0,759.0,740.0
2026-04-21,-8.0,-1.03,765.0,48.36,6382,266,755.0,765.0,750.1
2026-04-20,-5.0,-0.64,773.0,34.36,4483,284,778.0,778.0,754.7
2026-04-17,13.0,1.7,778.0,44.79,5859,316,755.0,778.2,755.0
2026-04-16,-9.0,-1.16,765.0,45.93,6024,306,789.0,789.0,760.0
2026-04-15,-6.0,-0.77,774.0,41.17,5336,319,780.0,789.0,765.0
2026-04-13,-1.0,-0.13,780.0,36.14,4685,299,765.4,780.0,765.4
2026-04-10,8.9,1.15,781.0,75.98,9728,262,787.4,795.0,765.6
2026-04-09,5.6,0.73,772.1,60.71,7818,282,770.0,787.0,766.1
2026-04-08,4.4,0.58,766.5,31.82,4167,288,762.1,776.0,755.0
2026-04-07,12.1,1.61,762.1,74.52,9798,275,751.0,775.0,751.0
2026-04-06,14.9,2.03,750.0,59.98,8036,290,721.3,762.9,721.3
2026-04-05,-27.2,-3.57,735.1,75.38,10123,401,748.1,759.0,735.0
2026-04-02,-9.8,-1.27,762.3,54.37,7112,297,758.0,775.0,755.0
2026-04-01,-20.9,-2.64,772.1,98.95,12703,334,782.2,791.0,771.1
2026-03-31,2.9,0.37,793.0,83.5,10581,480,780.0,800.0,780.0
2026-03-30,-0.9,-0.11,790.1,,13747,619,790.0,815.0,780.1
2026-03-29,-29.0,-3.54,791.0,,18770,738,820.0,822.1,785.0
2026-03-26,6.0,0.74,820.0,,20195,653,810.0,820.0,805.0
2026-03-25,-17.1,-2.06,814.0,,21397,712,815.0,847.7,809.0
2026-03-24,-15.9,-1.88,831.1,96.37,11572,551,863.9,863.9,825.0
2026-03-23,-3.0,-0.35,847.0,,19739,862,865.0,876.0,830.0
2026-03-22,76.9,9.95,850.0,,56086,1252,775.0,850.4,775.0
2026-03-19,2.1,0.27,773.1,,17814,1326,771.0,782.4,740.5
2026-03-17,4.7,0.61,771.0,13.78,1799,35,781.0,781.0,761.0
2026-03-16,-11.8,-1.52,766.3,19.83,2576,50,778.0,778.2,766.0
2026-03-15,1.1,0.14,778.1,11.51,1475,44,778.1,789.7,777.0
2026-03-12,-6.0,-0.77,777.0,16.44,2102,41,780.0,790.0,770.0
2026-03-11,-6.9,-0.87,783.0,19.09,2429,42,805.6,805.6,781.5
2026-03-10,32.6,4.3,789.9,,14164,208,770.0,795.0,770.0
2026-03-03,9.3,1.24,757.3,22.73,3015,52,760.0,760.0,750.0
2026-03-01,0.9,0.12,748.0,16.4,2189,31,740.2,752.9,740.2
2026-02-26,0.1,0.01,747.1,6.07,808,19,750.0,757.0,747.1
2026-02-25,2.0,0.27,747.0,7.36,981,31,758.9,758.9,745.6
2026-02-24,-10.0,-1.32,745.0,16.37,2180,44,755.0,759.0,745.0
2026-02-23,-8.5,-1.11,755.0,8.15,1078,38,770.0,770.0,755.0
2026-02-22,3.5,0.46,763.5,18.71,2467,43,760.0,769.9,750.0
