DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.0,1.68,485.0,10.19,2124,55,471.0,485.0,471.0
2026-05-07,-4.0,-0.83,477.0,19.04,4021,44,475.1,478.0,470.5
2026-05-06,3.4,0.71,481.0,4.87,1020,33,471.0,481.0,470.3
2026-05-05,5.0,1.06,477.6,6.34,1330,29,470.0,479.9,470.0
2026-05-04,-22.2,-4.49,472.6,25.65,5374,104,496.0,496.0,471.2
2026-04-30,-0.2,-0.04,494.8,40.86,8356,88,481.0,496.0,481.0
2026-04-29,-17.2,-3.36,495.0,44.9,8967,124,510.2,510.3,495.0
2026-04-28,-6.8,-1.31,512.2,25.15,4901,93,519.0,521.0,512.0
2026-04-27,-1.0,-0.19,519.0,11.13,2145,73,520.0,525.0,510.0
2026-04-24,0.0,0.0,520.0,14.11,2727,62,510.0,520.0,510.0
2026-04-23,-9.0,-1.7,520.0,26.81,5150,89,539.0,539.0,518.2
2026-04-22,-1.1,-0.21,529.0,26.26,5036,94,544.5,544.5,520.0
2026-04-21,-15.8,-2.89,530.1,10.08,1888,72,562.2,562.2,525.0
2026-04-20,9.9,1.85,545.9,45.64,8636,138,552.0,552.0,520.1
2026-04-17,5.8,1.09,536.0,15.2,2854,66,540.0,540.0,523.0
2026-04-16,-12.7,-2.34,530.2,37.96,7139,104,550.5,550.5,528.0
2026-04-15,2.9,0.54,542.9,57.02,10525,120,540.0,550.0,535.0
2026-04-13,2.0,0.37,540.0,36.31,6771,89,527.6,545.0,522.0
2026-04-10,-4.1,-0.76,538.0,26.77,4990,79,537.0,542.1,532.0
2026-04-09,5.1,0.95,542.1,61.87,11503,140,540.0,550.0,523.0
2026-04-08,13.0,2.48,537.0,26.38,4929,80,517.0,542.6,517.0
2026-04-07,4.0,0.77,524.0,48.61,9320,124,517.0,539.0,514.1
2026-04-06,1.9,0.37,520.0,,22181,147,508.0,538.0,508.0
2026-04-05,-21.9,-4.06,518.1,80.9,15411,158,530.3,540.0,515.1
2026-04-02,-2.1,-0.39,540.0,37.23,6829,105,533.0,560.9,523.0
2026-04-01,-16.4,-2.94,542.1,79.8,14583,158,558.0,559.0,537.1
2026-03-31,-1.5,-0.27,558.5,35.47,6360,98,560.0,564.0,553.4
2026-03-30,-7.0,-1.23,560.0,50.58,8959,102,566.0,577.0,560.0
2026-03-29,-17.8,-3.04,567.0,37.9,6634,108,573.2,584.0,567.0
2026-03-26,3.8,0.65,584.8,20.14,3479,93,576.2,586.0,572.0
2026-03-25,-4.0,-0.68,581.0,31.76,5459,99,577.0,591.0,577.0
2026-03-24,5.0,0.86,585.0,87.06,14758,166,576.1,600.0,570.0
2026-03-23,-5.0,-0.85,580.0,58.76,10163,131,573.3,585.8,573.3
2026-03-22,-5.0,-0.85,585.0,69.51,11927,143,578.2,592.0,578.2
2026-03-19,2.5,0.43,590.0,59.45,10098,191,580.0,600.0,576.1
2026-03-17,9.4,1.63,587.5,44.24,7652,107,575.0,597.0,570.1
2026-03-16,-9.9,-1.68,578.1,17.96,3105,74,576.3,610.0,575.0
2026-03-15,0.0,0.0,588.0,37.48,6441,127,576.3,588.0,576.3
2026-03-12,4.0,0.68,588.0,51.06,8709,114,572.4,624.0,572.4
2026-03-11,0.9,0.15,584.0,36.1,6176,115,571.5,594.6,571.5
2026-03-10,-6.9,-1.17,583.1,58.82,10046,156,600.0,600.0,575.1
2026-03-09,22.2,3.91,590.0,,60,3,579.0,590.0,579.0
2026-03-03,1.7,0.3,567.8,10.85,1914,66,566.0,574.8,555.2
2026-03-01,9.1,1.63,566.1,19.17,3427,70,548.0,566.1,548.0
2026-02-26,-2.0,-0.36,557.0,15.52,2787,46,560.0,564.0,553.1
2026-02-25,-6.0,-1.06,559.0,12.77,2280,60,557.0,564.0,557.0
2026-02-24,9.0,1.62,565.0,61.1,10969,59,545.3,567.0,545.3
2026-02-23,-8.0,-1.42,556.0,22.37,4034,91,553.1,560.0,553.0
2026-02-22,3.0,0.53,564.0,42.23,7592,103,571.9,571.9,551.0
2026-02-17,-6.1,-1.08,561.0,43.21,7667,68,561.1,570.0,560.0
2026-02-16,-2.9,-0.51,567.1,23.75,4184,95,568.0,580.0,563.0
2026-02-12,6.0,1.06,570.0,25.01,4385,104,560.5,576.3,560.5
2026-02-11,-6.0,-1.05,564.0,48.75,8604,116,570.0,577.0,563.0
2026-02-10,0.0,0.0,570.0,53.13,9248,103,581.4,604.8,563.0
2026-02-09,-10.0,-1.72,570.0,90.27,15825,138,570.0,579.9,567.0
2026-02-08,-13.7,-2.31,580.0,63.62,10873,148,590.0,596.2,578.0
2026-02-05,21.6,3.78,593.7,,21672,230,565.0,600.0,565.0
2026-02-04,-3.0,-0.52,572.1,57.26,9941,127,572.0,585.0,570.5
2026-02-03,8.0,1.41,575.1,54.72,9496,176,577.9,583.1,566.5
2026-02-02,-14.9,-2.56,567.1,59.54,10406,142,570.4,582.0,567.0
2026-02-01,-14.1,-2.37,582.0,,18804,202,590.0,599.0,569.0
2026-01-29,-19.9,-3.23,596.1,,29311,240,610.0,628.4,596.0
2026-01-28,-4.9,-0.79,616.0,,24812,284,608.5,627.3,608.5
2026-01-27,22.1,3.69,620.9,,107022,754,587.2,652.0,587.2
2026-01-26,18.8,3.24,598.8,,40186,328,580.0,604.1,575.0
2026-01-25,17.0,3.02,580.0,,18537,204,572.0,580.0,565.0
2026-01-22,0.0,0.0,563.0,84.51,15084,146,572.0,572.0,551.8
2026-01-21,-3.0,-0.53,563.0,,50866,291,570.0,581.5,557.0
2026-01-20,2.1,0.37,566.0,88.62,15530,166,575.0,579.9,559.1
2026-01-18,4.9,0.88,563.9,61.58,10911,111,547.9,570.0,547.9
2026-01-14,-1.0,-0.18,559.0,52.46,9351,99,555.0,568.9,555.0
2026-01-13,0.0,0.0,560.0,35.1,6283,96,556.2,563.0,556.2
2026-01-12,-6.5,-1.15,560.0,48.61,8650,122,577.0,577.0,558.0
2026-01-08,2.4,0.43,566.5,17.83,3150,67,565.0,570.0,560.0
2026-01-07,-4.2,-0.74,564.1,29.35,5150,102,578.0,580.0,560.1
2026-01-06,0.2,0.04,568.3,18.41,3227,97,566.2,575.0,566.2
2026-01-05,2.1,0.37,568.1,41.4,7275,130,577.0,577.0,563.1
2026-01-04,1.5,0.27,566.0,18.82,3322,85,560.0,576.0,560.0
2026-01-01,-5.5,-0.96,564.5,31.87,5616,115,565.0,575.0,554.5
2025-12-31,5.0,0.88,570.0,62.93,10845,133,570.0,590.0,565.0
2025-12-29,-5.0,-0.88,565.0,29.42,5200,65,565.0,580.0,562.4
