DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,34.0,2.44,1430.0,4.98,354,9,1437.8,1437.8,1390.0
2026-05-07,-9.0,-0.64,1396.0,3.23,232,13,1378.1,1405.0,1378.1
2026-05-06,-10.0,-0.71,1405.0,1.43,101,9,1450.0,1450.0,1400.0
2026-05-05,-1.1,-0.08,1415.0,9.28,656,26,1414.0,1442.0,1376.0
2026-05-04,-0.9,-0.06,1416.1,11.61,822,36,1382.0,1441.0,1375.0
2026-04-30,-43.0,-2.95,1417.0,12.91,895,30,1460.0,1460.0,1417.0
2026-04-29,-22.0,-1.48,1460.0,11.11,762,30,1470.0,1470.0,1441.1
2026-04-28,-18.0,-1.2,1482.0,14.7,992,33,1500.0,1490.0,1480.0
2026-04-27,0.0,0.0,1500.0,3.68,247,18,1500.0,1500.0,1485.0
2026-04-24,-14.0,-0.92,1500.0,3.59,239,11,1530.0,1530.0,1490.0
2026-04-23,9.0,0.6,1514.0,7.82,520,17,1485.0,1529.5,1485.0
2026-04-22,4.0,0.27,1505.0,4.89,326,16,1500.0,1510.0,1486.0
2026-04-21,-9.0,-0.6,1501.0,4.14,276,21,1498.0,1510.0,1481.0
2026-04-20,10.0,0.67,1510.0,8.98,585,22,1540.0,1591.0,1490.0
2026-04-17,-10.0,-0.66,1500.0,5.17,343,17,1510.0,1520.0,1500.0
2026-04-16,8.0,0.53,1510.0,5.0,329,24,1502.0,1532.0,1502.0
2026-04-15,-13.2,-0.87,1502.0,21.38,1404,38,1515.2,1545.5,1502.0
2026-04-13,1.2,0.08,1515.2,7.12,468,20,1510.0,1542.0,1510.0
2026-04-10,-21.0,-1.37,1514.0,7.67,506,17,1550.1,1550.1,1507.3
2026-04-09,19.5,1.29,1535.0,12.74,833,32,1488.0,1550.1,1488.0
2026-04-08,-4.5,-0.3,1515.5,8.1,533,20,1516.1,1550.0,1500.0
2026-04-07,5.0,0.33,1520.0,11.64,764,33,1516.0,1540.0,1516.0
2026-04-06,27.9,1.88,1515.0,17.8,1180,38,1516.8,1535.0,1490.0
2026-04-05,-67.9,-4.37,1487.1,22.69,1524,70,1555.0,1555.0,1457.2
2026-04-02,12.4,0.8,1555.0,35.86,2298,68,1542.0,1614.0,1515.0
2026-04-01,-27.4,-1.75,1542.6,22.67,1454,45,1580.0,1588.0,1542.6
2026-03-31,-7.1,-0.45,1570.0,10.92,694,32,1585.0,1600.0,1560.0
2026-03-30,-21.9,-1.37,1577.1,21.91,1379,47,1585.0,1630.0,1575.0
2026-03-29,-63.0,-3.79,1599.0,49.81,3093,90,1662.0,1662.0,1565.1
2026-03-26,32.0,1.96,1662.0,19.98,1186,41,1630.0,1723.0,1630.0
2026-03-25,-54.0,-3.21,1630.0,27.24,1658,64,1670.0,1670.0,1630.0
2026-03-24,-36.0,-2.09,1684.0,17.54,1036,46,1725.0,1725.0,1680.0
2026-03-23,95.0,5.85,1720.0,,7886,229,1656.0,1751.0,1656.0
2026-03-22,58.1,3.71,1625.0,83.79,5179,127,1590.0,1625.0,1590.0
2026-03-19,6.9,0.44,1566.9,23.44,1493,48,1585.0,1591.0,1565.0
2026-03-17,-20.0,-1.27,1560.0,8.35,526,14,1582.0,1596.0,1560.0
2026-03-16,-1.0,-0.06,1580.0,28.48,1814,48,1607.9,1607.9,1550.0
2026-03-15,-19.0,-1.19,1581.0,16.75,1055,30,1600.0,1632.0,1572.0
2026-03-12,5.0,0.31,1600.0,19.92,1242,41,1595.0,1620.0,1595.0
2026-03-11,-30.0,-1.85,1595.0,21.71,1341,53,1657.5,1657.5,1585.0
2026-03-10,75.0,4.84,1625.0,94.38,5766,183,1581.0,1705.0,1581.0
2026-03-03,15.0,0.98,1550.0,12.68,829,33,1505.0,1550.0,1505.0
2026-03-01,-35.0,-2.23,1535.0,23.32,1515,39,1539.0,1550.0,1519.0
2026-02-26,-9.0,-0.57,1570.0,27.73,1755,72,1610.0,1635.0,1545.5
2026-02-25,139.1,9.66,1579.0,35.47,2290,79,1455.0,1583.0,1455.0
2026-02-24,27.9,1.98,1439.9,13.66,964,46,1420.0,1440.0,1400.0
2026-02-23,4.0,0.28,1412.0,5.27,373,28,1408.0,1426.9,1408.0
2026-02-22,-60.0,-4.09,1408.0,35.85,2559,83,1439.0,1450.0,1382.1
2026-02-17,-14.1,-0.95,1468.0,14.59,994,53,1482.0,1490.0,1461.0
2026-02-16,-18.9,-1.26,1482.1,9.41,633,33,1500.0,1500.0,1482.0
2026-02-12,-1.0,-0.07,1501.0,26.52,1782,57,1502.0,1502.0,1477.0
2026-02-11,-3.0,-0.2,1502.0,10.14,672,26,1515.0,1522.0,1500.0
2026-02-10,0.0,0.0,1505.0,15.42,1019,34,1501.0,1533.0,1501.0
2026-02-09,-21.0,-1.38,1505.0,15.48,1022,36,1540.0,1541.0,1505.0
2026-02-08,1.0,0.07,1526.0,16.38,1069,53,1500.0,1550.0,1500.0
2026-02-05,15.0,0.99,1525.0,22.49,1475,60,1527.0,1539.0,1515.0
2026-02-04,-7.0,-0.46,1510.0,17.98,1177,52,1547.3,1577.9,1510.0
2026-02-03,-18.0,-1.17,1517.0,23.54,1543,58,1532.0,1540.0,1513.0
2026-02-02,-5.0,-0.32,1535.0,30.11,1953,65,1530.0,1569.0,1530.0
2026-02-01,-26.6,-1.7,1540.0,34.9,2262,63,1560.0,1580.0,1530.0
2026-01-29,-18.4,-1.16,1566.6,25.89,1642,52,1609.0,1609.0,1561.6
2026-01-28,-2.0,-0.13,1585.0,35.12,2223,42,1565.0,1588.5,1565.0
2026-01-27,-1.0,-0.06,1587.0,43.71,2750,77,1587.5,1615.0,1587.0
2026-01-26,-6.0,-0.38,1588.0,62.01,3897,111,1595.0,1600.0,1570.0
2026-01-25,-3.0,-0.19,1594.0,59.4,3718,101,1624.0,1624.0,1590.0
2026-01-22,-8.0,-0.5,1597.0,30.05,1904,62,1600.0,1600.0,1570.0
2026-01-21,2.0,0.12,1605.0,37.04,2294,77,1635.0,1665.0,1605.0
2026-01-20,10.0,0.63,1603.0,44.73,2783,114,1624.0,1630.0,1593.0
2026-01-18,88.0,5.85,1593.0,60.31,3810,124,1502.0,1654.5,1502.0
2026-01-14,-25.0,-1.63,1505.0,41.47,2735,108,1560.0,1560.0,1498.6
2026-01-13,-60.0,-3.77,1530.0,,7408,159,1600.0,1600.0,1530.0
2026-01-12,-13.5,-0.84,1590.0,34.8,2168,102,1604.0,1667.0,1590.0
2026-01-08,-2.5,-0.16,1603.5,54.87,3458,129,1589.0,1606.0,1550.0
2026-01-07,-94.0,-5.53,1606.0,68.76,4258,180,1734.0,1734.0,1576.0
2026-01-06,-57.0,-3.24,1700.0,71.1,4193,203,1791.9,1791.9,1581.3
2026-01-05,127.8,7.84,1757.0,,10819,421,1660.0,1789.0,1629.0
2026-01-04,148.1,10.0,1629.2,,17318,649,1510.7,1629.2,1490.0
2026-01-01,134.6,10.0,1481.1,75.21,5412,221,1319.6,1481.1,1242.1
2025-12-31,-149.6,-10.0,1346.5,83.3,6175,148,1466.2,1466.2,1346.5
2025-12-29,-166.2,-10.0,1496.1,76.96,5140,153,1629.1,1629.1,1496.1
2025-12-28,-184.7,-10.0,1662.3,75.25,4521,159,1810.1,1810.1,1662.3
2025-12-24,-27.0,-1.44,1847.0,14.81,802,42,1840.0,1908.0,1836.6
2025-12-23,-16.0,-0.85,1874.0,19.61,1053,38,1860.0,1889.5,1855.0
2025-12-22,-36.9,-1.91,1890.0,18.14,968,44,1901.0,1939.0,1863.0
2025-12-21,1.9,0.1,1926.9,17.35,910,37,1900.0,1926.9,1900.0
2025-12-18,13.0,0.68,1925.0,9.13,473,37,1950.0,1950.2,1905.0
2025-12-17,-6.5,-0.34,1912.0,18.54,965,43,1955.0,1955.0,1912.0
2025-12-16,-17.5,-0.9,1918.5,14.95,774,26,1940.0,1950.0,1918.5
2025-12-15,-4.0,-0.21,1936.0,11.57,596,25,1930.0,1963.0,1930.0
2025-12-14,-9.9,-0.51,1940.0,8.38,431,24,1950.0,1970.0,1930.0
2025-12-11,2.9,0.15,1949.9,7.95,411,16,1947.0,1949.9,1930.0
2025-12-10,-8.0,-0.41,1947.0,9.19,472,16,1921.0,1994.0,1921.0
2025-12-09,9.0,0.46,1955.0,14.71,757,34,1950.1,1965.0,1920.0
2025-12-08,-9.0,-0.46,1946.0,12.86,662,27,1931.0,1959.0,1930.4
2025-12-07,-11.0,-0.56,1955.0,11.19,574,28,1930.2,1975.0,1930.1
2025-12-03,-9.0,-0.46,1966.0,7.09,359,14,1976.0,1985.0,1966.0
2025-12-02,-2.0,-0.1,1975.0,10.19,516,25,1980.0,1985.0,1968.0
2025-12-01,-18.9,-0.95,1977.0,6.2,314,23,1960.5,1999.0,1960.5
2025-11-30,-2.6,-0.13,1995.9,6.37,322,20,2015.0,2025.0,1960.0
2025-11-27,-11.5,-0.57,1998.5,12.29,618,35,1982.0,2015.0,1980.0
2025-11-26,-9.0,-0.45,2010.0,2.81,141,14,2034.0,2034.0,1983.0
2025-11-25,-11.0,-0.54,2019.0,10.26,513,28,2001.1,2019.0,1991.0
2025-11-24,22.0,1.1,2030.0,6.49,322,28,2048.0,2048.1,1979.6
2025-11-23,38.0,1.93,2008.0,8.76,441,25,2000.0,2009.0,1966.1
2025-11-20,-39.0,-1.94,1970.0,6.46,329,21,1968.9,1995.0,1950.0
2025-11-19,2.0,0.1,2009.0,7.09,359,24,1990.0,2009.0,1942.3
2025-11-18,18.0,0.9,2007.0,8.16,409,20,2028.7,2028.7,1949.4
2025-11-17,20.4,1.04,1989.0,2.75,140,7,1935.0,1989.0,1935.0
2025-11-16,23.6,1.21,1968.6,9.56,491,22,1930.1,2010.0,1911.2
2025-11-13,-15.0,-0.77,1945.0,8.88,455,23,1999.0,1999.0,1941.0
2025-11-12,-30.0,-1.51,1960.0,6.76,345,16,1960.0,1965.0,1955.3
2025-11-11,-44.0,-2.16,1990.0,3.71,186,7,2000.0,2000.0,1990.0
2025-11-10,-3.0,-0.15,2034.0,5.83,292,21,1997.0,2036.9,1969.0
2025-11-09,-2.0,-0.1,2037.0,11.24,564,27,2000.0,2040.0,1960.2
2025-11-06,39.0,1.95,2039.0,9.96,493,36,1975.0,2039.9,1975.0
2025-11-05,-30.0,-1.48,2000.0,8.6,431,18,1990.0,2017.5,1978.0
2025-11-04,-2.1,-0.1,2030.0,10.1,503,33,2000.0,2040.0,1970.0
2025-11-03,-65.9,-3.14,2032.1,12.9,625,38,2056.2,2092.0,2030.2
2025-11-02,68.0,3.35,2098.0,20.72,994,35,2005.0,2121.6,2005.0
2025-10-30,39.0,1.96,2030.0,30.14,1482,57,1955.0,2072.0,1951.2
2025-10-29,1.0,0.05,1991.0,13.05,654,26,1995.0,2005.0,1991.0
2025-10-28,60.0,3.11,1990.0,4.99,252,20,1968.6,2000.0,1968.6
2025-10-26,-30.0,-1.53,1930.0,3.41,177,12,1932.0,1940.0,1925.0
2025-10-19,15.0,0.77,1960.0,2.36,121,10,1945.0,1960.0,1945.0
2025-10-16,-35.0,-1.77,1945.0,3.71,192,16,1946.1,1946.1,1903.0
2025-10-15,-20.0,-1.0,1980.0,11.7,593,27,1970.0,1999.2,1960.0
2025-10-14,-10.0,-0.5,2000.0,10.66,531,29,2010.0,2020.0,2000.0
2025-10-13,-39.9,-1.95,2010.0,6.84,340,16,2050.0,2050.0,2006.0
2025-10-12,-45.1,-2.15,2049.9,10.0,496,33,2053.1,2053.1,2005.0
2025-10-09,-25.0,-1.18,2095.0,12.0,571,25,2161.0,2161.0,2094.0
2025-10-08,75.0,3.67,2120.0,11.45,565,28,2010.0,2120.0,2005.0
2025-10-07,-55.0,-2.62,2045.0,9.22,452,27,2100.0,2100.0,2017.0
2025-09-28,27.0,1.3,2100.0,3.48,166,10,2110.0,2114.4,2080.0
2025-09-25,-49.0,-2.31,2073.0,17.84,845,27,2100.0,2134.0,2072.0
2025-09-24,-46.0,-2.12,2122.0,19.22,895,55,2211.3,2255.0,2122.0
2025-09-23,93.12,4.49,2168.0,20.92,970,60,2116.0,2190.0,2116.0
2025-09-21,168.38,8.83,2074.88,42.66,2155,109,1907.0,2089.7,1900.0
2025-09-18,-78.56,-3.96,1906.5,2.33,121,5,1945.4,1945.4,1906.5
2025-09-08,-60.16,-2.94,1985.06,33.08,1656,76,2025.5,2036.2,1970.0
2025-09-07,10.5,0.52,2045.22,16.64,810,41,2035.0,2137.0,2035.0
2025-09-04,-54.16,-2.59,2034.72,32.96,1610,64,2130.0,2130.0,2020.0
2025-09-03,1.25,0.06,2088.88,7.96,380,28,2129.3,2171.0,2050.1
2025-09-02,-16.88,-0.8,2087.63,26.9,1287,49,2104.51,2146.6,2061.1
2025-09-01,-10.13,-0.48,2104.51,22.26,1060,54,2085.2,2135.0,2085.2
2025-08-31,-25.56,-1.19,2114.64,12.89,609,48,2140.0,2160.0,2105.3
2025-08-28,-29.8,-1.37,2140.2,24.65,1149,46,2210.0,2210.0,2137.0
2025-08-27,19.52,0.91,2170.0,21.45,995,41,2190.0,2233.0,2149.0
2025-08-26,-38.71,-1.77,2150.48,18.27,845,41,2150.1,2224.0,2150.0
2025-08-25,11.03,0.51,2189.19,16.31,746,46,2221.0,2248.0,2166.1
2025-08-24,-2.17,-0.1,2178.16,12.5,570,28,2200.0,2219.8,2169.0
2025-08-21,7.55,0.35,2180.33,18.06,830,43,2172.0,2214.0,2151.0
2025-08-20,-37.68,-1.7,2172.78,23.24,1065,43,2166.5,2250.0,2166.5
2025-08-19,46.87,2.17,2210.46,27.46,1244,86,2190.0,2244.0,2170.0
2025-08-18,-26.51,-1.21,2163.59,36.91,1701,70,2161.0,2195.0,2160.2
2025-08-17,-8.16,-0.37,2190.1,31.35,1435,56,2155.0,2200.0,2155.0
2025-08-14,-0.36,-0.02,2198.26,29.33,1334,41,2242.5,2242.5,2185.0
2025-08-13,-3.96,-0.18,2198.62,19.87,894,31,2210.0,2243.0,2190.0
2025-08-12,-65.94,-2.91,2202.58,53.97,2433,103,2240.0,2274.0,2195.2
2025-08-11,-137.69,-5.72,2268.52,,6294,175,2406.5,2406.5,2260.0
2025-08-07,39.01,1.65,2406.21,,6231,284,2414.0,2561.0,2325.0
